palavra,divisao_list,divisao,categoria,fonetica_list,fonetica,tonica_num,tonica,antepenultima,penultima,ultima
usuário,"['u', 'su', 'á', 'ri', 'o']",u·su·á·ri·o,adjetivo,"['u', 'zu', 'ˈa', 'ɾjʊ']",u.zu.ˈa.ɾjʊ,3,antepenultima,zu,ˈa,ɾjʊ
usucapião,"['u', 'su', 'ca', 'pi', 'ão']",u·su·ca·pi·ão,nome feminino,"['u', 'zu', 'ka', 'pi', 'ˈɐ̃w']",u.zu.ka.pi.ˈɐ̃w,1,ultima,ka,pi,ˈɐ̃w
usufruição,"['u', 'su', 'fru', 'i', 'ção']",u·su·fru·i·ção,nome feminino,"['u', 'zu', 'fɾuj', 'sˈɐ̃w']",u.zu.fɾuj.sˈɐ̃w,1,ultima,zu,fɾuj,sˈɐ̃w
usufruidor,"['u', 'su', 'fru', 'i', 'dor']",u·su·fru·i·dor,adjetivo,"['u', 'zu', 'fɾuj', 'dˈo']",u.zu.fɾuj.dˈo,1,ultima,zu,fɾuj,dˈo
usufruidor,"['u', 'su', 'fru', 'i', 'dor']",u·su·fru·i·dor,nome masculino,"['u', 'zu', 'fɾuj', 'dˈo']",u.zu.fɾuj.dˈo,1,ultima,zu,fɾuj,dˈo
usufruir,"['u', 'su', 'fru', 'ir']",u·su·fru·ir,verbo,"['u', 'zu', 'fɾu', 'ˈi']",u.zu.fɾu.ˈi,1,ultima,zu,fɾu,ˈi
usufruto,"['u', 'su', 'fru', 'to']",u·su·fru·to,nome masculino,"['u', 'zu', 'fɾˈu', 'tʊ']",u.zu.fɾˈu.tʊ,2,penultima,zu,fɾˈu,tʊ
usufrutuária,"['u', 'su', 'fru', 'tu', 'á', 'ri', 'a']",u·su·fru·tu·á·ri·a,nome feminino,"['u', 'zu', 'fɾu', 'tu', 'ˈa', 'ɾjɐ']",u.zu.fɾu.tu.ˈa.ɾjɐ,3,antepenultima,tu,ˈa,ɾjɐ
usufrutuário,"['u', 'su', 'fru', 'tu', 'á', 'ri', 'o']",u·su·fru·tu·á·ri·o,adjetivo,"['u', 'zu', 'fɾu', 'tu', 'ˈa', 'ɾjʊ']",u.zu.fɾu.tu.ˈa.ɾjʊ,3,antepenultima,tu,ˈa,ɾjʊ
usufrutuário,"['u', 'su', 'fru', 'tu', 'á', 'ri', 'o']",u·su·fru·tu·á·ri·o,nome masculino,"['u', 'zu', 'fɾu', 'tu', 'ˈa', 'ɾjʊ']",u.zu.fɾu.tu.ˈa.ɾjʊ,3,antepenultima,tu,ˈa,ɾjʊ
usura,"['u', 'su', 'ra']",u·su·ra,nome feminino,"['u', 'zˈu', 'ɾɐ']",u.zˈu.ɾɐ,2,penultima,u,zˈu,ɾɐ
usurar,"['u', 'su', 'rar']",u·su·rar,verbo,"['u', 'zu', 'ɾˈa']",u.zu.ɾˈa,1,ultima,u,zu,ɾˈa
usurária,"['u', 'su', 'rá', 'ri', 'a']",u·su·rá·ri·a,nome feminino,"['u', 'zu', 'ɾˈa', 'ɾjɐ']",u.zu.ɾˈa.ɾjɐ,3,antepenultima,zu,ɾˈa,ɾjɐ
