palavra,divisao_list,divisao,categoria,fonetica_list,fonetica,tonica_num,tonica,antepenultima,penultima,ultima
antiaglutinante,"['an', 'ti', 'a', 'glu', 'ti', 'nan', 'te']",an·ti·a·glu·ti·nan·te,adjetivo,"['ɐ̃', 'tʃi', 'a', 'glu', 'tʃĩ', 'nˈɐ̃', 'tʃɪ']",ɐ̃.tʃi.a.glu.tʃĩ.nˈɐ̃.tʃɪ,2,penultima,tʃĩ,nˈɐ̃,tʃɪ
antiagrário,"['an', 'ti', 'a', 'grá', 'ri', 'o']",an·ti·a·grá·ri·o,adjetivo,"['ɐ̃', 'tʃi', 'a', 'gɾˈa', 'ɾjʊ']",ɐ̃.tʃi.a.gɾˈa.ɾjʊ,3,antepenultima,a,gɾˈa,ɾjʊ
antiagrícola,"['an', 'ti', 'a', 'grí', 'co', 'la']",an·ti·a·grí·co·la,adjetivo,"['ɐ̃', 'tʃi', 'a', 'gɾˈi', 'ko', 'lɐ']",ɐ̃.tʃi.a.gɾˈi.ko.lɐ,3,antepenultima,gɾˈi,ko,lɐ
antialcalino,"['an', 'ti', 'al', 'ca', 'li', 'no']",an·ti·al·ca·li·no,adjetivo,"['ɐ̃', 'tʃi', 'aw', 'ka', 'lˈĩ', 'nʊ']",ɐ̃.tʃi.aw.ka.lˈĩ.nʊ,2,penultima,ka,lˈĩ,nʊ
antialcoólico,"['an', 'ti', 'al', 'co', 'ó', 'li', 'co']",an·ti·al·co·ó·li·co,adjetivo,"['ɐ̃', 'tʃi', 'aw', 'ko', 'ˈɔ', 'li', 'kʊ']",ɐ̃.tʃi.aw.ko.ˈɔ.li.kʊ,3,antepenultima,ˈɔ,li,kʊ
antialcoolismo,"['an', 'ti', 'al', 'co', 'o', 'lis', 'mo']",an·ti·al·co·o·lis·mo,nome masculino,"['ɐ̃', 'tʃi', 'aw', 'ko', 'lˈiʒ', 'mʊ']",ɐ̃.tʃi.aw.ko.lˈiʒ.mʊ,2,penultima,ko,lˈiʒ,mʊ
antialemão,"['an', 'ti', 'a', 'le', 'mão']",an·ti·a·le·mão,adjetivo,"['ɐ̃', 'tʃi', 'a', 'lẽ', 'mˈɐ̃w']",ɐ̃.tʃi.a.lẽ.mˈɐ̃w,1,ultima,a,lẽ,mˈɐ̃w
antialérgico,"['an', 'ti', 'a', 'lér', 'gi', 'co']",an·ti·a·lér·gi·co,nome masculino,"['ɐ̃', 'tʃi', 'a', 'lˈɛɦ', 'ʒi', 'kʊ']",ɐ̃.tʃi.a.lˈɛɦ.ʒi.kʊ,3,antepenultima,lˈɛɦ,ʒi,kʊ
antialérgico,"['an', 'ti', 'a', 'lér', 'gi', 'co']",an·ti·a·lér·gi·co,adjetivo,"['ɐ̃', 'tʃi', 'a', 'lˈɛɦ', 'ʒi', 'kʊ']",ɐ̃.tʃi.a.lˈɛɦ.ʒi.kʊ,3,antepenultima,lˈɛɦ,ʒi,kʊ
antialienígena,"['an', 'ti', 'a', 'li', 'e', 'ní', 'ge', 'na']",an·ti·a·li·e·ní·ge·na,adjetivo,"['ɐ̃', 'tʃi', 'a', 'li', 'ẽ', 'nˈi', 'ʒẽ', 'nɐ']",ɐ̃.tʃi.a.li.ẽ.nˈi.ʒẽ.nɐ,3,antepenultima,nˈi,ʒẽ,nɐ
antialienígena,"['an', 'ti', 'a', 'li', 'e', 'ní', 'ge', 'na']",an·ti·a·li·e·ní·ge·na,nome masculino,"['ɐ̃', 'tʃi', 'a', 'li', 'ẽ', 'nˈi', 'ʒẽ', 'nɐ']",ɐ̃.tʃi.a.li.ẽ.nˈi.ʒẽ.nɐ,3,antepenultima,nˈi,ʒẽ,nɐ
antialienígena,"['an', 'ti', 'a', 'li', 'e', 'ní', 'ge', 'na']",an·ti·a·li·e·ní·ge·na,nome feminino,"['ɐ̃', 'tʃi', 'a', 'li', 'ẽ', 'nˈi', 'ʒẽ', 'nɐ']",ɐ̃.tʃi.a.li.ẽ.nˈi.ʒẽ.nɐ,3,antepenultima,nˈi,ʒẽ,nɐ
antiamericanismo,"['an', 'ti', 'a', 'me', 'ri', 'ca', 'nis', 'mo']",an·ti·a·me·ri·ca·nis·mo,nome masculino,"['ɐ̃', 'tʃi', 'ã', 'me', 'ɾi', 'kã', 'nˈiʒ', 'mʊ']",ɐ̃.tʃi.ã.me.ɾi.kã.nˈiʒ.mʊ,2,penultima,kã,nˈiʒ,mʊ
antiamericano,"['an', 'ti', 'a', 'me', 'ri', 'ca', 'no']",an·ti·a·me·ri·ca·no,adjetivo,"['ɐ̃', 'tʃi', 'ã', 'me', 'ɾi', 'kˈɐ̃', 'nʊ']",ɐ̃.tʃi.ã.me.ɾi.kˈɐ̃.nʊ,2,penultima,ɾi,kˈɐ̃,nʊ
antianglicano,"['an', 'ti', 'an', 'gli', 'ca', 'no']",an·ti·an·gli·ca·no,adjetivo,"['ɐ̃', 'tʃi', 'ɐ̃', 'gli', 'kˈɐ̃', 'nʊ']",ɐ̃.tʃi.ɐ̃.gli.kˈɐ̃.nʊ,2,penultima,gli,kˈɐ̃,nʊ
