palavra,divisao_list,divisao,categoria,fonetica_list,fonetica,tonica_num,tonica,antepenultima,penultima,ultima
maquinalmente,"['ma', 'qui', 'nal', 'men', 'te']",ma·qui·nal·men·te,advérbio,"['ma', 'kĩ', 'naw', 'mˈẽ', 'tʃɪ']",ma.kĩ.naw.mˈẽ.tʃɪ,2,penultima,naw,mˈẽ,tʃɪ
maquinar,"['ma', 'qui', 'nar']",ma·qui·nar,verbo,"['ma', 'kĩ', 'nˈa']",ma.kĩ.nˈa,1,ultima,ma,kĩ,nˈa
maquinaria,"['ma', 'qui', 'na', 'ri', 'a']",ma·qui·na·ri·a,nome feminino,"['ma', 'kĩ', 'na', 'ɾˈi', 'ɐ']",ma.kĩ.na.ɾˈi.ɐ,2,penultima,na,ɾˈi,ɐ
maquineta,"['ma', 'qui', 'ne', 'ta']",ma·qui·ne·ta,nome feminino,"['ma', 'kĩ', 'nˈe', 'tɐ']",ma.kĩ.nˈe.tɐ,2,penultima,kĩ,nˈe,tɐ
maquinismo,"['ma', 'qui', 'nis', 'mo']",ma·qui·nis·mo,nome masculino,"['ma', 'kĩ', 'nˈiʒ', 'mʊ']",ma.kĩ.nˈiʒ.mʊ,2,penultima,kĩ,nˈiʒ,mʊ
maquinista,"['ma', 'qui', 'nis', 'ta']",ma·qui·nis·ta,nome masculino,"['ma', 'kĩ', 'nˈiʃ', 'tɐ']",ma.kĩ.nˈiʃ.tɐ,2,penultima,kĩ,nˈiʃ,tɐ
maquinista,"['ma', 'qui', 'nis', 'ta']",ma·qui·nis·ta,nome feminino,"['ma', 'kĩ', 'nˈiʃ', 'tɐ']",ma.kĩ.nˈiʃ.tɐ,2,penultima,kĩ,nˈiʃ,tɐ
maquis,"['ma', 'quis']",ma·quis,nome masculino,"['ma', 'kˈiʃ']",ma.kˈiʃ,1,ultima,,ma,kˈiʃ
mar,['mar'],mar,nome masculino,['mˈa'],mˈa,1,ultima,,,mˈa
marabu,"['ma', 'ra', 'bu']",ma·ra·bu,nome masculino,"['ma', 'ɾa', 'bˈu']",ma.ɾa.bˈu,1,ultima,ma,ɾa,bˈu
