palavra,divisao_list,divisao,categoria,fonetica_list,fonetica,tonica_num,tonica,antepenultima,penultima,ultima
xenófobo,"['xe', 'nó', 'fo', 'bo']",xe·nó·fo·bo,nome masculino,"['ʃẽ', 'nˈɔ', 'fo', 'bʊ']",ʃẽ.nˈɔ.fo.bʊ,3,antepenultima,nˈɔ,fo,bʊ
xénon,"['xé', 'non']",xé·non,nome masculino,"['ʃˈɛ̃', 'nõ']",ʃˈɛ̃.nõ,2,penultima,,ʃˈɛ̃,nõ
xenotransplante,"['xe', 'no', 'trans', 'plan', 'te']",xe·no·trans·plan·te,nome masculino,"['ʃẽ', 'no', 'tɾɐ̃ʃ', 'plˈɐ̃', 'tʃɪ']",ʃẽ.no.tɾɐ̃ʃ.plˈɐ̃.tʃɪ,2,penultima,tɾɐ̃ʃ,plˈɐ̃,tʃɪ
xepa,"['xe', 'pa']",xe·pa,nome feminino,"['ʃˈe', 'pɐ']",ʃˈe.pɐ,2,penultima,,ʃˈe,pɐ
xeque,"['xe', 'que']",xe·que,nome masculino,"['ʃˈɛ', 'kɪ']",ʃˈɛ.kɪ,2,penultima,,ʃˈɛ,kɪ
xeque-mate,"['xe', 'que', 'ma', 'te']",xe·que-ma·te,nome masculino,"['ʃˌɛ', 'ki', 'mˈa', 'tʃɪ']",ʃˌɛ.ki.mˈa.tʃɪ,2,penultima,ki,mˈa,tʃɪ
xerafim,"['xe', 'ra', 'fim']",xe·ra·fim,nome masculino,"['ʃe', 'ɾa', 'fˈĩ']",ʃe.ɾa.fˈĩ,1,ultima,ʃe,ɾa,fˈĩ
xerez,"['xe', 'rez']",xe·rez,nome masculino,"['ʃe', 'ɾˈeʃ']",ʃe.ɾˈeʃ,1,ultima,,ʃe,ɾˈeʃ
xerife,"['xe', 'ri', 'fe']",xe·ri·fe,nome masculino,"['ʃe', 'ɾˈi', 'fɪ']",ʃe.ɾˈi.fɪ,2,penultima,ʃe,ɾˈi,fɪ
xerodermia,"['xe', 'ro', 'der', 'mi', 'a']",xe·ro·der·mi·a,nome feminino,"['ʃe', 'ɾo', 'deɦ', 'mˈi', 'ɐ']",ʃe.ɾo.deɦ.mˈi.ɐ,2,penultima,deɦ,mˈi,ɐ
xerox,"['xe', 'rox']",xe·rox,adjetivo,"['ʃe', 'ɾˈɔks']",ʃe.ɾˈɔks,1,ultima,,ʃe,ɾˈɔks
