palavra,divisao_list,divisao,categoria,fonetica_list,fonetica,tonica_num,tonica,antepenultima,penultima,ultima
bimestralmente,"['bi', 'mes', 'tral', 'men', 'te']",bi·mes·tral·men·te,advérbio,"['bĩ', 'meʃ', 'tɾaw', 'mˈẽ', 'tʃɪ']",bĩ.meʃ.tɾaw.mˈẽ.tʃɪ,2,penultima,tɾaw,mˈẽ,tʃɪ
bimestre,"['bi', 'mes', 'tre']",bi·mes·tre,adjetivo,"['bĩ', 'mˈɛʃ', 'tɾɪ']",bĩ.mˈɛʃ.tɾɪ,2,penultima,bĩ,mˈɛʃ,tɾɪ
bimestre,"['bi', 'mes', 'tre']",bi·mes·tre,nome masculino,"['bĩ', 'mˈɛʃ', 'tɾɪ']",bĩ.mˈɛʃ.tɾɪ,2,penultima,bĩ,mˈɛʃ,tɾɪ
bimetal,"['bi', 'me', 'tal']",bi·me·tal,nome masculino,"['bi', 'me', 'tˈaw']",bi.me.tˈaw,1,ultima,bi,me,tˈaw
bimetálico,"['bi', 'me', 'tá', 'li', 'co']",bi·me·tá·li·co,adjetivo,"['bi', 'me', 'tˈa', 'li', 'kʊ']",bi.me.tˈa.li.kʊ,3,antepenultima,tˈa,li,kʊ
bimilenário,"['bi', 'mi', 'le', 'ná', 'ri', 'o']",bi·mi·le·ná·ri·o,adjetivo,"['bi', 'mi', 'lẽ', 'nˈa', 'ɾjʊ']",bi.mi.lẽ.nˈa.ɾjʊ,3,antepenultima,lẽ,nˈa,ɾjʊ
bimilenário,"['bi', 'mi', 'le', 'ná', 'ri', 'o']",bi·mi·le·ná·ri·o,nome masculino,"['bi', 'mi', 'lẽ', 'nˈa', 'ɾjʊ']",bi.mi.lẽ.nˈa.ɾjʊ,3,antepenultima,lẽ,nˈa,ɾjʊ
bimilénio,"['bi', 'mi', 'lé', 'ni', 'o']",bi·mi·lé·ni·o,nome masculino,"['bi', 'mi', 'lˈɛ̃', 'njʊ']",bi.mi.lˈɛ̃.njʊ,3,antepenultima,mi,lˈɛ̃,njʊ
bimo,"['bi', 'mo']",bi·mo,adjetivo,"['bˈĩ', 'mʊ']",bˈĩ.mʊ,2,penultima,,bˈĩ,mʊ
bimotor,"['bi', 'mo', 'tor']",bi·mo·tor,adjetivo,"['bĩ', 'mo', 'tˈo']",bĩ.mo.tˈo,1,ultima,bĩ,mo,tˈo
bimotor,"['bi', 'mo', 'tor']",bi·mo·tor,nome masculino,"['bĩ', 'mo', 'tˈo']",bĩ.mo.tˈo,1,ultima,bĩ,mo,tˈo
binação,"['bi', 'na', 'ção']",bi·na·ção,nome feminino,"['bi', 'na', 'sˈɐ̃w']",bi.na.sˈɐ̃w,1,ultima,bi,na,sˈɐ̃w
binado,"['bi', 'na', 'do']",bi·na·do,adjetivo,"['bi', 'nˈa', 'dʊ']",bi.nˈa.dʊ,2,penultima,bi,nˈa,dʊ
binar,"['bi', 'nar']",bi·nar,verbo,"['bĩ', 'nˈa']",bĩ.nˈa,1,ultima,,bĩ,nˈa
binariamente,"['bi', 'na', 'ri', 'a', 'men', 'te']",bi·na·ri·a·men·te,advérbio,"['bĩ', 'na', 'ɾi', 'ã', 'mˈẽ', 'tʃɪ']",bĩ.na.ɾi.ã.mˈẽ.tʃɪ,2,penultima,ã,mˈẽ,tʃɪ
binário,"['bi', 'ná', 'ri', 'o']",bi·ná·ri·o,nome masculino,"['bĩ', 'nˈa', 'ɾjʊ']",bĩ.nˈa.ɾjʊ,3,antepenultima,bĩ,nˈa,ɾjʊ
binário,"['bi', 'ná', 'ri', 'o']",bi·ná·ri·o,adjetivo,"['bĩ', 'nˈa', 'ɾjʊ']",bĩ.nˈa.ɾjʊ,3,antepenultima,bĩ,nˈa,ɾjʊ
binascido,"['bi', 'nas', 'ci', 'do']",bi·nas·ci·do,adjetivo,"['bi', 'na', 'sˈi', 'dʊ']",bi.na.sˈi.dʊ,2,penultima,na,sˈi,dʊ
binda,"['bin', 'da']",bin·da,nome feminino,"['bˈĩ', 'dɐ']",bˈĩ.dɐ,2,penultima,,bˈĩ,dɐ
bingo,"['bin', 'go']",bin·go,interjeição,"['bˈĩ', 'gʊ']",bˈĩ.gʊ,2,penultima,,bˈĩ,gʊ
bingo,"['bin', 'go']",bin·go,nome masculino,"['bˈĩ', 'gʊ']",bˈĩ.gʊ,2,penultima,,bˈĩ,gʊ
binocular,"['bi', 'no', 'cu', 'lar']",bi·no·cu·lar,verbo,"['bĩ', 'nɔ', 'ku', 'lˈa']",bĩ.nɔ.ku.lˈa,1,ultima,nɔ,ku,lˈa
