palavra,divisao_list,divisao,categoria,fonetica_list,fonetica,tonica_num,tonica,antepenultima,penultima,ultima
zanzibar,"['zan', 'zi', 'bar']",zan·zi·bar,adjetivo,"['zɐ̃', 'zi', 'bˈa']",zɐ̃.zi.bˈa,1,ultima,zɐ̃,zi,bˈa
zanzibar,"['zan', 'zi', 'bar']",zan·zi·bar,nome masculino,"['zɐ̃', 'zi', 'bˈa']",zɐ̃.zi.bˈa,1,ultima,zɐ̃,zi,bˈa
zanzibar,"['zan', 'zi', 'bar']",zan·zi·bar,nome feminino,"['zɐ̃', 'zi', 'bˈa']",zɐ̃.zi.bˈa,1,ultima,zɐ̃,zi,bˈa
zapping,"['zap', 'ping']",zap·ping,nome masculino,[''],,2,penultima,,,
zaragata,"['za', 'ra', 'ga', 'ta']",za·ra·ga·ta,nome feminino,"['za', 'ɾa', 'gˈa', 'tɐ']",za.ɾa.gˈa.tɐ,2,penultima,ɾa,gˈa,tɐ
zaragateira,"['za', 'ra', 'ga', 'tei', 'ra']",za·ra·ga·tei·ra,nome feminino,"['za', 'ɾa', 'ga', 'tˈej', 'ɾɐ']",za.ɾa.ga.tˈej.ɾɐ,2,penultima,ga,tˈej,ɾɐ
zaragateiro,"['za', 'ra', 'ga', 'tei', 'ro']",za·ra·ga·tei·ro,adjetivo,"['za', 'ɾa', 'ga', 'tˈej', 'ɾʊ']",za.ɾa.ga.tˈej.ɾʊ,2,penultima,ga,tˈej,ɾʊ
zaragateiro,"['za', 'ra', 'ga', 'tei', 'ro']",za·ra·ga·tei·ro,nome masculino,"['za', 'ɾa', 'ga', 'tˈej', 'ɾʊ']",za.ɾa.ga.tˈej.ɾʊ,2,penultima,ga,tˈej,ɾʊ
zaragatoa,"['za', 'ra', 'ga', 'to', 'a']",za·ra·ga·to·a,nome feminino,"['za', 'ɾa', 'ga', 'tˈo', 'ɐ']",za.ɾa.ga.tˈo.ɐ,2,penultima,ga,tˈo,ɐ
zaragatoar,"['za', 'ra', 'ga', 'to', 'ar']",za·ra·ga·to·ar,verbo,"['za', 'ɾa', 'ga', 'to', 'ˈa']",za.ɾa.ga.to.ˈa,1,ultima,ga,to,ˈa
zarcão,"['zar', 'cão']",zar·cão,nome masculino,"['zah', 'kˈɐ̃w']",zah.kˈɐ̃w,1,ultima,,zah,kˈɐ̃w
zarco,"['zar', 'co']",zar·co,adjetivo,"['zˈah', 'kʊ']",zˈah.kʊ,2,penultima,,zˈah,kʊ
zargo,"['zar', 'go']",zar·go,adjetivo,"['zˈaɦ', 'gʊ']",zˈaɦ.gʊ,2,penultima,,zˈaɦ,gʊ
zarolho,"['za', 'ro', 'lho']",za·ro·lho,adjetivo,"['za', 'ɾˈo', 'ʎʊ']",za.ɾˈo.ʎʊ,2,penultima,za,ɾˈo,ʎʊ
zarolho,"['za', 'ro', 'lho']",za·ro·lho,nome masculino,"['za', 'ɾˈo', 'ʎʊ']",za.ɾˈo.ʎʊ,2,penultima,za,ɾˈo,ʎʊ
zarpar,"['zar', 'par']",zar·par,verbo,"['zah', 'pˈa']",zah.pˈa,1,ultima,,zah,pˈa
zarro,"['zar', 'ro']",zar·ro,adjetivo,"['zˈa', 'ɦʊ']",zˈa.ɦʊ,2,penultima,,zˈa,ɦʊ
zarro,"['zar', 'ro']",zar·ro,nome masculino,"['zˈa', 'ɦʊ']",zˈa.ɦʊ,2,penultima,,zˈa,ɦʊ
zarzuela,"['zar', 'zu', 'e', 'la']",zar·zu·e·la,nome feminino,"['zaɦ', 'zwˈɛ', 'lɐ']",zaɦ.zwˈɛ.lɐ,2,penultima,zaɦ,zwˈɛ,lɐ
zás,['zás'],zás,interjeição,['zˈaʃ'],zˈaʃ,1,ultima,,,zˈaʃ
zau,['zau'],zau,nome masculino,['zˈaw'],zˈaw,1,ultima,,,zˈaw
zavar,"['za', 'var']",za·var,verbo,"['za', 'vˈa']",za.vˈa,1,ultima,,za,vˈa
zé,['zé'],zé,nome masculino,['zˈɛ'],zˈɛ,1,ultima,,,zˈɛ
zê,['zê'],zê,nome masculino,['zˈe'],zˈe,1,ultima,,,zˈe
zé-ninguém,"['zé', 'nin', 'guém']",zé-nin·guém,nome masculino,"['zˌɛ', 'nĩ', 'gˈẽj']",zˌɛ.nĩ.gˈẽj,1,ultima,zˌɛ,nĩ,gˈẽj
zé-pereira,"['zé', 'pe', 'rei', 'ra']",zé-pe·rei·ra,nome masculino,"['zˌɛ', 'pe', 'ɾˈej', 'ɾɐ']",zˌɛ.pe.ɾˈej.ɾɐ,2,penultima,pe,ɾˈej,ɾɐ
zé-povinho,"['zé', 'po', 'vi', 'nho']",zé-po·vi·nho,nome masculino,"['zˌɛ', 'po', 'vˈĩ', 'ɲʊ']",zˌɛ.po.vˈĩ.ɲʊ,2,penultima,po,vˈĩ,ɲʊ
zebra,"['ze', 'bra']",ze·bra,nome feminino,"['zˈe', 'bɾɐ']",zˈe.bɾɐ,2,penultima,,zˈe,bɾɐ
zebrar,"['ze', 'brar']",ze·brar,verbo,"['ze', 'bɾˈa']",ze.bɾˈa,1,ultima,,ze,bɾˈa
zebro,"['ze', 'bro']",ze·bro,nome masculino,"['zˈe', 'bɾʊ']",zˈe.bɾʊ,2,penultima,,zˈe,bɾʊ
zebu,"['ze', 'bu']",ze·bu,nome masculino,"['zˈe', 'bʊ']",zˈe.bʊ,1,ultima,,zˈe,bʊ
zebu,"['ze', 'bu']",ze·bu,adjetivo,"['zˈe', 'bʊ']",zˈe.bʊ,1,ultima,,zˈe,bʊ
zéfiro,"['zé', 'fi', 'ro']",zé·fi·ro,nome masculino,"['zˈɛ', 'fi', 'ɾʊ']",zˈɛ.fi.ɾʊ,3,antepenultima,zˈɛ,fi,ɾʊ
zeitgeist,"['zeit', 'geist']",zeit·geist,nome masculino,[''],,2,penultima,,,
zelador,"['ze', 'la', 'dor']",ze·la·dor,nome masculino,"['ze', 'la', 'dˈo']",ze.la.dˈo,1,ultima,ze,la,dˈo
zelador,"['ze', 'la', 'dor']",ze·la·dor,adjetivo,"['ze', 'la', 'dˈo']",ze.la.dˈo,1,ultima,ze,la,dˈo
