palavra,divisao_list,divisao,categoria,fonetica_list,fonetica,tonica_num,tonica,antepenultima,penultima,ultima
espartano,"['es', 'par', 'ta', 'no']",es·par·ta·no,nome masculino,"['iʃ', 'pah', 'tˈɐ̃', 'nʊ']",iʃ.pah.tˈɐ̃.nʊ,2,penultima,pah,tˈɐ̃,nʊ
esparteiro,"['es', 'par', 'tei', 'ro']",es·par·tei·ro,nome masculino,"['iʃ', 'pah', 'tˈej', 'ɾʊ']",iʃ.pah.tˈej.ɾʊ,2,penultima,pah,tˈej,ɾʊ
espartilhado,"['es', 'par', 'ti', 'lha', 'do']",es·par·ti·lha·do,adjetivo,"['iʃ', 'pah', 'tʃi', 'ʎˈa', 'dʊ']",iʃ.pah.tʃi.ʎˈa.dʊ,2,penultima,tʃi,ʎˈa,dʊ
espartilhar,"['es', 'par', 'ti', 'lhar']",es·par·ti·lhar,verbo,"['i_s', 'pah', 'tʃi', 'ʎˈa']",i_s.pah.tʃi.ʎˈa,1,ultima,pah,tʃi,ʎˈa
espartilho,"['es', 'par', 'ti', 'lho']",es·par·ti·lho,nome masculino,"['iʃ', 'pah', 'tʃˈi', 'ʎʊ']",iʃ.pah.tʃˈi.ʎʊ,2,penultima,pah,tʃˈi,ʎʊ
espartir,"['es', 'par', 'tir']",es·par·tir,verbo,"['iʃ', 'pah', 'tʃˈi']",iʃ.pah.tʃˈi,1,ultima,iʃ,pah,tʃˈi
esparto,"['es', 'par', 'to']",es·par·to,nome masculino,"['iʃ', 'pˈah', 'tʊ']",iʃ.pˈah.tʊ,2,penultima,iʃ,pˈah,tʊ
esparzir,"['es', 'par', 'zir']",es·par·zir,verbo,"['iʃ', 'paɦ', 'zˈi']",iʃ.paɦ.zˈi,1,ultima,iʃ,paɦ,zˈi
espasmar,"['es', 'pas', 'mar']",es·pas·mar,verbo,"['iʃ', 'paʒ', 'mˈa']",iʃ.paʒ.mˈa,1,ultima,iʃ,paʒ,mˈa
espasmo,"['es', 'pas', 'mo']",es·pas·mo,nome masculino,"['iʃ', 'pˈaʒ', 'mʊ']",iʃ.pˈaʒ.mʊ,2,penultima,iʃ,pˈaʒ,mʊ
espasmodicamente,"['es', 'pas', 'mo', 'di', 'ca', 'men', 'te']",es·pas·mo·di·ca·men·te,advérbio,"['iʃ', 'paʒ', 'mɔ', 'dʒi', 'kã', 'mˈẽ', 'tʃɪ']",iʃ.paʒ.mɔ.dʒi.kã.mˈẽ.tʃɪ,2,penultima,kã,mˈẽ,tʃɪ
espasmódico,"['es', 'pas', 'mó', 'di', 'co']",es·pas·mó·di·co,adjetivo,"['iʃ', 'paʒ', 'mˈɔ', 'dʒi', 'kʊ']",iʃ.paʒ.mˈɔ.dʒi.kʊ,3,antepenultima,mˈɔ,dʒi,kʊ
espatifar,"['es', 'pa', 'ti', 'far']",es·pa·ti·far,verbo,"['iʃ', 'pa', 'tʃi', 'fˈa']",iʃ.pa.tʃi.fˈa,1,ultima,pa,tʃi,fˈa
espátula,"['es', 'pá', 'tu', 'la']",es·pá·tu·la,nome feminino,"['iʃ', 'pˈa', 'tu', 'lɐ']",iʃ.pˈa.tu.lɐ,3,antepenultima,pˈa,tu,lɐ
espaventar,"['es', 'pa', 'ven', 'tar']",es·pa·ven·tar,verbo,"['iʃ', 'pa', 'vẽ', 'tˈa']",iʃ.pa.vẽ.tˈa,1,ultima,pa,vẽ,tˈa
espavento,"['es', 'pa', 'ven', 'to']",es·pa·ven·to,adjetivo,"['iʃ', 'pa', 'vˈẽ', 'tʊ']",iʃ.pa.vˈẽ.tʊ,2,penultima,pa,vˈẽ,tʊ
espavento,"['es', 'pa', 'ven', 'to']",es·pa·ven·to,nome masculino,"['iʃ', 'pa', 'vˈẽ', 'tʊ']",iʃ.pa.vˈẽ.tʊ,2,penultima,pa,vˈẽ,tʊ
espaventosamente,"['es', 'pa', 'ven', 'to', 'sa', 'men', 'te']",es·pa·ven·to·sa·men·te,advérbio,"['iʃ', 'pa', 'vẽ', 'tɔ', 'zã', 'mˈẽ', 'tʃɪ']",iʃ.pa.vẽ.tɔ.zã.mˈẽ.tʃɪ,2,penultima,zã,mˈẽ,tʃɪ
espaventoso,"['es', 'pa', 'ven', 'to', 'so']",es·pa·ven·to·so,adjetivo,"['iʃ', 'pa', 'vẽ', 'tˈo', 'zʊ']",iʃ.pa.vẽ.tˈo.zʊ,2,penultima,vẽ,tˈo,zʊ
espavorido,"['es', 'pa', 'vo', 'ri', 'do']",es·pa·vo·ri·do,adjetivo,"['iʃ', 'pa', 'vo', 'ɾˈi', 'dʊ']",iʃ.pa.vo.ɾˈi.dʊ,2,penultima,vo,ɾˈi,dʊ
espavorir,"['es', 'pa', 'vo', 'rir']",es·pa·vo·rir,verbo,"['iʃ', 'pa', 'vo', 'ɾˈi']",iʃ.pa.vo.ɾˈi,1,ultima,pa,vo,ɾˈi
especado,"['es', 'pe', 'ca', 'do']",es·pe·ca·do,adjetivo,"['iʃ', 'pɛ', 'kˈa', 'dʊ']",iʃ.pɛ.kˈa.dʊ,2,penultima,pɛ,kˈa,dʊ
especar,"['es', 'pe', 'car']",es·pe·car,verbo,"['iʃ', 'pe', 'kˈa']",iʃ.pe.kˈa,1,ultima,iʃ,pe,kˈa
espeçar,"['es', 'pe', 'çar']",es·pe·çar,verbo,"['iʃ', 'pe', 'sˈa']",iʃ.pe.sˈa,1,ultima,iʃ,pe,sˈa
especial,"['es', 'pe', 'ci', 'al']",es·pe·ci·al,adjetivo,"['iʃ', 'pe', 'si', 'ˈaw']",iʃ.pe.si.ˈaw,1,ultima,pe,si,ˈaw
especialidade,"['es', 'pe', 'ci', 'a', 'li', 'da', 'de']",es·pe·ci·a·li·da·de,nome feminino,"['iʃ', 'pe', 'si', 'a', 'li', 'dˈa', 'dʒɪ']",iʃ.pe.si.a.li.dˈa.dʒɪ,2,penultima,li,dˈa,dʒɪ
