palavra,divisao_list,divisao,categoria,fonetica_list,fonetica,tonica_num,tonica,antepenultima,penultima,ultima
intervindo,"['in', 'ter', 'vin', 'do']",in·ter·vin·do,adjetivo,"['ĩ', 'teɦ', 'vˈĩ', 'dʊ']",ĩ.teɦ.vˈĩ.dʊ,2,penultima,teɦ,vˈĩ,dʊ
intervir,"['in', 'ter', 'vir']",in·ter·vir,verbo,"['ĩ', 'teɦ', 'vˈi']",ĩ.teɦ.vˈi,1,ultima,ĩ,teɦ,vˈi
intestável,"['in', 'tes', 'tá', 'vel']",in·tes·tá·vel,adjetivo,"['ĩ', 'teʃ', 'tˈa', 'vew']",ĩ.teʃ.tˈa.vew,2,penultima,teʃ,tˈa,vew
intestinal,"['in', 'tes', 'ti', 'nal']",in·tes·ti·nal,adjetivo,"['ĩ', 'teʃ', 'tʃĩ', 'nˈaw']",ĩ.teʃ.tʃĩ.nˈaw,1,ultima,teʃ,tʃĩ,nˈaw
intestino,"['in', 'tes', 'ti', 'no']",in·tes·ti·no,nome masculino,"['ĩ', 'teʃ', 'tʃˈĩ', 'nʊ']",ĩ.teʃ.tʃˈĩ.nʊ,2,penultima,teʃ,tʃˈĩ,nʊ
intestino,"['in', 'tes', 'ti', 'no']",in·tes·ti·no,adjetivo,"['ĩ', 'teʃ', 'tʃˈĩ', 'nʊ']",ĩ.teʃ.tʃˈĩ.nʊ,2,penultima,teʃ,tʃˈĩ,nʊ
intexto,"['in', 'tex', 'to']",in·tex·to,adjetivo,"['ĩ', 'tˈeʃ', 'tʊ']",ĩ.tˈeʃ.tʊ,2,penultima,ĩ,tˈeʃ,tʊ
íntima,"['ín', 'ti', 'ma']",ín·ti·ma,nome feminino,"['ˈĩ', 'tʃĩ', 'mɐ']",ˈĩ.tʃĩ.mɐ,3,antepenultima,ˈĩ,tʃĩ,mɐ
intimação,"['in', 'ti', 'ma', 'ção']",in·ti·ma·ção,nome feminino,"['ĩ', 'tʃĩ', 'ma', 'sˈɐ̃w']",ĩ.tʃĩ.ma.sˈɐ̃w,1,ultima,tʃĩ,ma,sˈɐ̃w
intimamente,"['in', 'ti', 'ma', 'men', 'te']",in·ti·ma·men·te,advérbio,"['ĩ', 'tʃĩ', 'mã', 'mˈẽ', 'tʃɪ']",ĩ.tʃĩ.mã.mˈẽ.tʃɪ,2,penultima,mã,mˈẽ,tʃɪ
intimar,"['in', 'ti', 'mar']",in·ti·mar,verbo,"['ĩ', 'tʃĩ', 'mˈa']",ĩ.tʃĩ.mˈa,1,ultima,ĩ,tʃĩ,mˈa
intimidação,"['in', 'ti', 'mi', 'da', 'ção']",in·ti·mi·da·ção,nome feminino,"['ĩ', 'tʃĩ', 'mi', 'da', 'sˈɐ̃w']",ĩ.tʃĩ.mi.da.sˈɐ̃w,1,ultima,mi,da,sˈɐ̃w
intimidade,"['in', 'ti', 'mi', 'da', 'de']",in·ti·mi·da·de,nome feminino,"['ĩ', 'tʃĩ', 'mi', 'dˈa', 'dʒɪ']",ĩ.tʃĩ.mi.dˈa.dʒɪ,2,penultima,mi,dˈa,dʒɪ
intimidado,"['in', 'ti', 'mi', 'da', 'do']",in·ti·mi·da·do,adjetivo,"['ĩ', 'tʃĩ', 'mi', 'dˈa', 'dʊ']",ĩ.tʃĩ.mi.dˈa.dʊ,2,penultima,mi,dˈa,dʊ
intimidador,"['in', 'ti', 'mi', 'da', 'dor']",in·ti·mi·da·dor,adjetivo,"['ĩ', 'tʃĩ', 'mi', 'da', 'dˈo']",ĩ.tʃĩ.mi.da.dˈo,1,ultima,mi,da,dˈo
intimidador,"['in', 'ti', 'mi', 'da', 'dor']",in·ti·mi·da·dor,nome masculino,"['ĩ', 'tʃĩ', 'mi', 'da', 'dˈo']",ĩ.tʃĩ.mi.da.dˈo,1,ultima,mi,da,dˈo
intimidante,"['in', 'ti', 'mi', 'dan', 'te']",in·ti·mi·dan·te,adjetivo,"['ĩ', 'tʃĩ', 'mi', 'dˈɐ̃', 'tʃɪ']",ĩ.tʃĩ.mi.dˈɐ̃.tʃɪ,2,penultima,mi,dˈɐ̃,tʃɪ
intimidar,"['in', 'ti', 'mi', 'dar']",in·ti·mi·dar,verbo,"['ĩ', 'tʃĩ', 'mi', 'dˈa']",ĩ.tʃĩ.mi.dˈa,1,ultima,tʃĩ,mi,dˈa
intimidativamente,"['in', 'ti', 'mi', 'da', 'ti', 'va', 'men', 'te']",in·ti·mi·da·ti·va·men·te,advérbio,"['ĩ', 'tʃĩ', 'mi', 'da', 'tʃi', 'vã', 'mˈẽ', 'tʃɪ']",ĩ.tʃĩ.mi.da.tʃi.vã.mˈẽ.tʃɪ,2,penultima,vã,mˈẽ,tʃɪ
