palavra,divisao_list,divisao,categoria,fonetica_list,fonetica,tonica_num,tonica,antepenultima,penultima,ultima
fagulha,"['fa', 'gu', 'lha']",fa·gu·lha,nome feminino,"['fa', 'gˈu', 'ʎɐ']",fa.gˈu.ʎɐ,2,penultima,fa,gˈu,ʎɐ
fagulhar,"['fa', 'gu', 'lhar']",fa·gu·lhar,verbo,"['fa', 'gu', 'ʎˈa']",fa.gu.ʎˈa,1,ultima,fa,gu,ʎˈa
fagundes,"['fa', 'gun', 'des']",fa·gun·des,nome masculino,"['fa', 'gˈũ', 'dʒɪʃ']",fa.gˈũ.dʒɪʃ,2,penultima,fa,gˈũ,dʒɪʃ
faia,"['fai', 'a']",fai·a,nome masculino,"['fˈaj', 'ɐ']",fˈaj.ɐ,2,penultima,,fˈaj,ɐ
faia,"['fai', 'a']",fai·a,nome feminino,"['fˈaj', 'ɐ ou fˈaj', 'ɐ']",fˈaj.ɐ ou fˈaj.ɐ,2,penultima,fˈaj,ɐ ou fˈaj,ɐ
faial,"['fai', 'al']",fai·al,nome masculino,"['faj', 'ˈaw']",faj.ˈaw,1,ultima,,faj,ˈaw
faialense,"['fai', 'a', 'len', 'se']",fai·a·len·se,adjetivo,"['faj', 'a', 'lˈẽ', 'sɪ']",faj.a.lˈẽ.sɪ,2,penultima,a,lˈẽ,sɪ
faialense,"['fai', 'a', 'len', 'se']",fai·a·len·se,nome masculino,"['faj', 'a', 'lˈẽ', 'sɪ ou faj', 'a', 'lˈẽ', 'sɪ']",faj.a.lˈẽ.sɪ ou faj.a.lˈẽ.sɪ,2,penultima,a,lˈẽ,sɪ
faiança,"['fai', 'an', 'ça']",fai·an·ça,nome feminino,"['faj', 'ˈɐ̃', 'sɐ']",faj.ˈɐ̃.sɐ,2,penultima,faj,ˈɐ̃,sɐ
faiar,"['fai', 'ar']",fai·ar,verbo,"['faj', 'ˈa']",faj.ˈa,1,ultima,,faj,ˈa
faim,"['fa', 'im']",fa·im,nome masculino,"['fa', 'ˈĩ']",fa.ˈĩ,1,ultima,,fa,ˈĩ
faina,"['fai', 'na']",fai·na,nome feminino,"['fˈãj', 'nɐ']",fˈãj.nɐ,2,penultima,,fˈãj,nɐ
fair-play,"['fair', 'play']",fair-play,nome masculino,[''],,1,ultima,,,
