palavra,divisao,categoria,fonetica,tonic
universalizável,"['u', 'ni', 'ver', 'sa', 'li', 'zá', 'vel']",adjetivo,"['ũ', 'ni', 'veh', 'sa', 'li', 'zˈa', 'vew']",2
universalmente,"['u', 'ni', 'ver', 'sal', 'men', 'te']",advérbio,"['ũ', 'ni', 'veh', 'saw', 'mˈẽ', 'tʃɪ']",2
universidade,"['u', 'ni', 'ver', 'si', 'da', 'de']",nome feminino,"['ũ', 'ni', 'veh', 'si', 'dˈa', 'dʒɪ']",2
universitária,"['u', 'ni', 'ver', 'si', 'tá', 'ri', 'a']",nome feminino,"['ũ', 'ni', 'veh', 'si', 'tˈa', 'ɾjɐ']",3
universitariamente,"['u', 'ni', 'ver', 'si', 'ta', 'ri', 'a', 'men', 'te']",advérbio,"['ũ', 'ni', 'veh', 'si', 'ta', 'ɾi', 'ã', 'mˈẽ', 'tʃɪ']",2
universitário,"['u', 'ni', 'ver', 'si', 'tá', 'ri', 'o']",nome masculino,"['ũ', 'ni', 'veh', 'si', 'tˈa', 'ɾjʊ']",3
universitário,"['u', 'ni', 'ver', 'si', 'tá', 'ri', 'o']",adjetivo,"['ũ', 'ni', 'veh', 'si', 'tˈa', 'ɾjʊ']",3
universo,"['u', 'ni', 'ver', 'so']",nome masculino,"['ũ', 'ni', 'vˈɛh', 'sʊ']",2
univocamente,"['u', 'ni', 'vo', 'ca', 'men', 'te']",advérbio,"['ũ', 'ni', 'vo', 'kã', 'mˈẽ', 'tʃɪ']",2
univocidade,"['u', 'ni', 'vo', 'ci', 'da', 'de']",nome feminino,"['ũ', 'ni', 'vo', 'si', 'dˈa', 'dʒɪ']",2
unívoco,"['u', 'ní', 'vo', 'co']",adjetivo,"['ũ', 'nˈi', 'vo', 'kʊ']",3
uno,"['u', 'no']",adjetivo,"['ˈũ', 'nʊ ou ˈũ', 'nʊ']",2
untar,"['un', 'tar']",verbo,"['ũ', 'tˈa']",1
unto,"['un', 'to']",nome masculino,"['ˈũ', 'tʊ']",2
untuosamente,"['un', 'tu', 'o', 'sa', 'men', 'te']",advérbio,"['ũ', 'tu', 'ɔ', 'zã', 'mˈẽ', 'tʃɪ']",2
untuosidade,"['un', 'tu', 'o', 'si', 'da', 'de']",nome feminino,"['ũ', 'tu', 'o', 'zi', 'dˈa', 'dʒɪ']",2
