palavra,divisao,categoria,fonetica,tonic
bananal,"['ba', 'na', 'nal']",nome masculino,"['bã', 'nã', 'nˈaw']",1
bananeira,"['ba', 'na', 'nei', 'ra']",nome masculino,"['bã', 'nã', 'nˈej', 'ɾɐ']",2
bananeiro,"['ba', 'na', 'nei', 'ro']",adjetivo,"['bã', 'nã', 'nˈej', 'ɾʊ']",2
bananeiro,"['ba', 'na', 'nei', 'ro']",nome masculino,"['bã', 'nã', 'nˈej', 'ɾʊ']",2
bananosa,"['ba', 'na', 'no', 'sa']",nome feminino,"['bã', 'nã', 'nˈɔ', 'zɐ']",2
banca,"['ban', 'ca']",nome feminino,"['bˈɐ̃', 'kɐ']",2
bançá,"['ban', 'çá']",nome feminino,"['bɐ̃', 'sˈa']",1
bancada,"['ban', 'ca', 'da']",nome feminino,"['bɐ̃', 'kˈa', 'dɐ']",2
bancar,"['ban', 'car']",verbo,"['bɐ̃', 'kˈa']",1
bancaria,"['ban', 'ca', 'ri', 'a']",nome feminino,"['bɐ̃', 'ka', 'ɾˈi', 'ɐ']",2
bancária,"['ban', 'cá', 'ri', 'a']",nome feminino,"['bɐ̃', 'kˈa', 'ɾjɐ']",3
bancário,"['ban', 'cá', 'ri', 'o']",adjetivo,"['bɐ̃', 'kˈa', 'ɾjʊ']",3
bancário,"['ban', 'cá', 'ri', 'o']",nome masculino,"['bɐ̃', 'kˈa', 'ɾjʊ']",3
bancarrota,"['ban', 'car', 'ro', 'ta']",nome feminino,"['bɐ̃', 'ka', 'ɦˈo', 'tɐ']",2
banco,"['ban', 'co']",nome masculino,"['bˈɐ̃', 'kʊ']",2
banda,"['ban', 'da']",nome masculino,"['bˈɐ̃', 'dɐ']",2
banda,"['ban', 'da']",nome feminino,"['bˈɐ̃', 'dɐ']",2
bandalheira,"['ban', 'da', 'lhei', 'ra']",nome feminino,"['bɐ̃', 'da', 'ʎˈej', 'ɾɐ']",2
bandalho,"['ban', 'da', 'lho']",nome masculino,"['bɐ̃', 'dˈa', 'ʎʊ']",2
bandar,"['ban', 'dar']",verbo,"['bɐ̃', 'dˈa']",1
bandarilha,"['ban', 'da', 'ri', 'lha']",nome feminino,"['bɐ̃', 'da', 'ɾˈi', 'ʎɐ']",2
bandarilhar,"['ban', 'da', 'ri', 'lhar']",verbo,"['bɐ̃', 'da', 'ɾi', 'ʎˈa']",1
bandarilheiro,"['ban', 'da', 'ri', 'lhei', 'ro']",nome masculino,"['bɐ̃', 'da', 'ɾi', 'ʎˈej', 'ɾʊ']",2
bandarra,"['ban', 'dar', 'ra']",nome masculino,"['bɐ̃', 'dˈa', 'ɦɐ']",2
bandarra,"['ban', 'dar', 'ra']",nome feminino,"['bɐ̃', 'dˈa', 'ɦɐ']",2
bandeira,"['ban', 'dei', 'ra']",nome feminino,"['bɐ̃', 'dˈej', 'ɾɐ']",2
bandeirada,"['ban', 'dei', 'ra', 'da']",nome feminino,"['bɐ̃', 'dej', 'ɾˈa', 'dɐ']",2
bandeirante,"['ban', 'dei', 'ran', 'te']",nome masculino,"['bɐ̃', 'dej', 'ɾˈɐ̃', 'tʃɪ']",2
bandeirante,"['ban', 'dei', 'ran', 'te']",adjetivo,"['bɐ̃', 'dej', 'ɾˈɐ̃', 'tʃɪ']",2
bandeirante,"['ban', 'dei', 'ran', 'te']",nome feminino,"['bɐ̃', 'dej', 'ɾˈɐ̃', 'tʃɪ']",2
bandeirar,"['ban', 'dei', 'rar']",verbo,"['bɐ̃', 'dej', 'ɾˈa']",1
bandeirinha,"['ban', 'dei', 'ri', 'nha']",nome feminino,"['bɐ̃', 'dej', 'ɾˈĩ', 'ɲɐ']",2
bandeirinha,"['ban', 'dei', 'ri', 'nha']",nome masculino,"['bɐ̃', 'dej', 'ɾˈĩ', 'ɲɐ']",2
bandeiro,"['ban', 'dei', 'ro']",adjetivo,"['bɐ̃', 'dˈej', 'ɾʊ']",2
bandeirola,"['ban', 'dei', 'ro', 'la']",nome feminino,"['bɐ̃', 'dej', 'ɾˈɔ', 'lɐ']",2
bandeja,"['ban', 'de', 'ja']",nome feminino,"['bɐ̃', 'dˈe', 'ʒɐ']",2
bandejar,"['ban', 'de', 'jar']",verbo,"['bɐ̃', 'de', 'ʒˈa']",1
bandido,"['ban', 'di', 'do']",nome masculino,"['bɐ̃', 'dʒˈi', 'dʊ']",2
bandido,"['ban', 'di', 'do']",adjetivo,"['bɐ̃', 'dʒˈi', 'dʊ']",2
banditismo,"['ban', 'di', 'tis', 'mo']",nome masculino,"['bɐ̃', 'dʒi', 'tʃˈiʒ', 'mʊ']",2
bandó,"['ban', 'dó']",nome masculino,"['bɐ̃', 'dˈɔ']",1
bando,"['ban', 'do']",nome masculino,"['bˈɐ̃', 'dʊ']",2
bandola,"['ban', 'do', 'la']",nome feminino,"['bɐ̃', 'dˈɔ', 'lɐ']",2
bandoleira,"['ban', 'do', 'lei', 'ra']",nome feminino,"['bɐ̃', 'do', 'lˈej', 'ɾɐ']",2
bandoleiro,"['ban', 'do', 'lei', 'ro']",nome masculino,"['bɐ̃', 'do', 'lˈej', 'ɾʊ']",2
bandolete,"['ban', 'do', 'le', 'te']",nome feminino,"['bɐ̃', 'do', 'lˈe', 'tʃɪ']",2
bandolim,"['ban', 'do', 'lim']",nome masculino,"['bɐ̃', 'do', 'lˈĩ']",1
bandolinista,"['ban', 'do', 'li', 'nis', 'ta']",nome masculino,"['bɐ̃', 'do', 'lĩ', 'nˈiʃ', 'tɐ']",2
bandolinista,"['ban', 'do', 'li', 'nis', 'ta']",nome feminino,"['bɐ̃', 'do', 'lĩ', 'nˈiʃ', 'tɐ']",2
bandulho,"['ban', 'du', 'lho']",nome masculino,"['bɐ̃', 'dˈu', 'ʎʊ']",2
banga,"['ban', 'ga']",nome feminino,"['bˈɐ̃', 'gɐ']",2
bango,"['ban', 'go']",adjetivo,"['bˈɐ̃', 'gʊ']",2
bango,"['ban', 'go']",nome masculino,"['bˈɐ̃', 'gʊ']",2
bangue,"['ban', 'gue']",nome masculino,"['bɐ̃', 'gˈi']",2
bangué,"['ban', 'gué']",nome masculino,"['bɐ̃', 'gˈɛ']",1
bangué,"['ban', 'gué']",adjetivo,"['bɐ̃', 'gˈɛ']",1
banguê,"['ban', 'guê']",nome masculino,"['bɐ̃', 'gˈe']",1
bangué,"['ban', 'gué']",nome feminino,"['bɐ̃', 'gˈɛ']",1
banguela,"['ban', 'gue', 'la']",adjetivo,"['bɐ̃', 'gˈɛ', 'lɐ']",2
banha,"['ba', 'nha']",nome feminino,"['bˈɐ̃', 'ɲɐ']",2
banhado,"['ba', 'nha', 'do']",adjetivo,"['bã', 'ɲˈa', 'dʊ']",2
banhar,"['ba', 'nhar']",verbo,"['bã', 'ɲˈa']",1
banheira,"['ba', 'nhei', 'ra']",nome feminino,"['bã', 'ɲˈej', 'ɾɐ']",2
banheiro,"['ba', 'nhei', 'ro']",nome masculino,"['bã', 'ɲˈej', 'ɾʊ']",2
banhista,"['ba', 'nhis', 'ta']",nome masculino,"['bã', 'ɲˈiʃ', 'tɐ']",2
banhista,"['ba', 'nhis', 'ta']",nome feminino,"['bã', 'ɲˈiʃ', 'tɐ']",2
banho,"['ba', 'nho']",nome masculino,"['bˈɐ̃', 'ɲʊ']",2
banho-maria,"['ba', 'nho', 'ma', 'ri', 'a']",nome masculino,"['bˌɐ̃', 'ɲʊ', 'ma', 'ɾˈi', 'ɐ']",2
banhos,"['ba', 'nhos']",nome masculino,"['bˈɐ̃', 'ɲʊʃ']",2
banida,"['ba', 'ni', 'da']",nome feminino,"['bã', 'nˈi', 'dɐ']",2
banido,"['ba', 'ni', 'do']",nome masculino,"['bã', 'nˈi', 'dʊ']",2
banimento,"['ba', 'ni', 'men', 'to']",nome masculino,"['bã', 'nĩ', 'mˈẽ', 'tʊ']",2
banir,"['ba', 'nir']",verbo,"['bã', 'nˈi']",1
banja,"['ban', 'ja']",nome feminino,"['bˈɐ̃', 'ʒɐ']",2
banjo,"['ban', 'jo']",nome masculino,"['bˈɐ̃', 'ʒʊ']",2
banjoísta,"['ban', 'jo', 'ís', 'ta']",adjetivo,"['bɐ̃', 'ʒo', 'ˈiʃ', 'tɐ']",2
banjoísta,"['ban', 'jo', 'ís', 'ta']",nome masculino,"['bɐ̃', 'ʒo', 'ˈiʃ', 'tɐ ou bɐ̃', 'ʒo', 'ˈiʃ', 'tɐ']",2
banqueiro,"['ban', 'quei', 'ro']",nome masculino,"['bɐ̃', 'kˈej', 'ɾʊ']",2
banqueta,"['ban', 'que', 'ta']",nome feminino,"['bɐ̃', 'kˈe', 'tɐ']",2
banquete,"['ban', 'que', 'te']",nome masculino,"['bɐ̃', 'kˈe', 'tʃɪ']",2
banquetear,"['ban', 'que', 'te', 'ar']",verbo,"['bɐ̃', 'ke', 'tʃi', 'ˈa']",1
banta,"['ban', 'ta']",nome feminino,"['bˈɐ̃', 'tɐ']",2
banto,"['ban', 'to']",nome masculino,"['bˈɐ̃', 'tʊ']",2
banto,"['ban', 'to']",adjetivo,"['bˈɐ̃', 'tʊ']",2
banyamulenge,"['ba', 'nya', 'mu', 'len', 'ge']",nome masculino,"['bã', 'ni', 'ã', 'mu', 'lˈẽ', 'ʒɪ']",2
banyamulenge,"['ba', 'ny', 'a', 'mu', 'len', 'ge']",adjetivo,"['bã', 'ni', 'ã', 'mu', 'lˈẽ', 'ʒɪ']",2
banza,"['ban', 'za']",nome feminino,"['bˈɐ̃', 'zɐ']",2
banzado,"['ban', 'za', 'do']",adjetivo,"['bɐ̃', 'zˈa', 'dʊ']",2
banzão,"['ban', 'zão']",nome masculino,"['bɐ̃', 'zˈɐ̃w']",1
banzar,"['ban', 'zar']",verbo,"['bɐ̃', 'zˈa']",1
banzé,"['ban', 'zé']",nome masculino,"['bɐ̃', 'zˈɛ']",1
banzo,"['ban', 'zo']",nome masculino,"['bˈɐ̃', 'zʊ']",2
banzo,"['ban', 'zo']",adjetivo,"['bˈɐ̃', 'zʊ']",2
baobá,"['ba', 'o', 'bá']",nome masculino,"['ba', 'o', 'bˈa']",1
baptismal,"['bap', 'tis', 'mal']",adjetivo,"['ba', 'pi', 'tʃiʒ', 'mˈaw']",1
baptismo,"['bap', 'tis', 'mo']",nome masculino,"['ba', 'pi', 'tʃˈiʒ', 'mʊ']",2
baptista,"['bap', 'tis', 'ta']",adjetivo,"['ba', 'pi', 'tʃˈiʃ', 'tɐ']",2
