palavra,divisao,categoria,fonetica,tonic
absolutamente,"['ab', 'so', 'lu', 'ta', 'men', 'te']",advérbio,"['a', 'bə', 'so', 'lu', 'tã', 'mˈẽ', 'tʃɪ']",2
absolutismo,"['ab', 'so', 'lu', 'tis', 'mo']",nome masculino,"['a', 'bə', 'so', 'lu', 'tʃˈiʒ', 'mʊ']",2
absolutista,"['ab', 'so', 'lu', 'tis', 'ta']",adjetivo,"['a', 'bə', 'so', 'lu', 'tʃˈiʃ', 'tɐ']",2
absolutista,"['ab', 'so', 'lu', 'tis', 'ta']",nome masculino,"['a', 'bə', 'so', 'lu', 'tʃˈiʃ', 'tɐ']",2
absolutista,"['ab', 'so', 'lu', 'tis', 'ta']",nome feminino,"['a', 'bə', 'so', 'lu', 'tʃˈiʃ', 'tɐ']",2
absolutizar,"['ab', 'so', 'lu', 'ti', 'zar']",verbo,"['a', 'bə', 'so', 'lu', 'tʃi', 'zˈa']",1
absoluto,"['ab', 'so', 'lu', 'to']",adjetivo,"['a', 'bə', 'so', 'lˈu', 'tʊ']",2
absoluto,"['ab', 'so', 'lu', 'to']",nome masculino,"['a', 'bə', 'so', 'lˈu', 'tʊ']",2
absolvente,"['ab', 'sol', 'ven', 'te']",adjetivo,"['ab', 'sow', 'vˈẽ', 'tʃɪ']",2
absolver,"['ab', 'sol', 'ver']",verbo,"['a', 'bə', 'sow', 'vˈe']",1
absolvição,"['ab', 'sol', 'vi', 'ção']",nome feminino,"['a', 'bə', 'sow', 'vi', 'sˈɐ̃w']",1
absolvido,"['ab', 'sol', 'vi', 'do']",adjetivo,"['a', 'bə', 'sow', 'vˈi', 'dʊ']",2
absonância,"['ab', 'so', 'nân', 'ci', 'a']",nome feminino,"['ab', 'sõ', 'nˈɐ̃', 'sjɐ']",3
absonante,"['ab', 'so', 'nan', 'te']",adjetivo,"['ab', 'sõ', 'nˈɐ̃', 'tʃɪ']",2
absonar,"['ab', 'so', 'nar']",verbo,"['ab', 'sɔ̃', 'nˈaɾ']",3
absorção,"['ab', 'sor', 'ção']",nome feminino,"['a', 'bə', 'soh', 'sˈɐ̃w']",1
absorto,"['ab', 'sor', 'to']",adjetivo,"['a', 'bə', 'sˈoh', 'tʊ']",2
absorvedouro,"['ab', 'sor', 've', 'dou', 'ro']",nome masculino,"['ab', 'soɦ', 've', 'dˈo', 'ɾʊ']",2
absorvente,"['ab', 'sor', 'ven', 'te']",nome masculino,"['a', 'bə', 'soɦ', 'vˈẽ', 'tʃɪ']",2
absorvente,"['ab', 'sor', 'ven', 'te']",adjetivo,"['a', 'bə', 'soɦ', 'vˈẽ', 'tʃɪ']",2
absorventemente,"['ab', 'sor', 'ven', 'te', 'men', 'te']",advérbio,"['a', 'bə', 'soɦ', 'vẽ', 'tẽ', 'mˈẽ', 'tʃɪ']",2
absorver,"['ab', 'sor', 'ver']",verbo,"['a', 'bə', 'soɦ', 'vˈe']",1
absorvido,"['ab', 'sor', 'vi', 'do']",adjetivo,"['a', 'bə', 'soɦ', 'vˈi', 'dʊ']",2
absorvível,"['ab', 'sor', 'ví', 'vel']",adjetivo,"['a', 'bə', 'soɦ', 'vˈi', 'vew']",2
abstémia,"['abs', 'té', 'mi', 'a']",nome feminino,"['abʃ', 'tˈɛ̃', 'mjɐ']",3
abstêmio,"['abs', 'tê', 'mi', 'o']",adjetivo,"['abʃ', 'tˈẽ', 'mjʊ']",3
abstêmio,"['abs', 'tê', 'mi', 'o']",nome masculino,"['abʃ', 'tˈẽ', 'mjʊ']",3
abstémio,"['abs', 'té', 'mi', 'o']",nome masculino,"['abʃ', 'tˈɛ̃', 'mjʊ']",3
abstémio,"['abs', 'té', 'mi', 'o']",adjetivo,"['abʃ', 'tˈɛ̃', 'mjʊ']",3
abstenção,"['abs', 'ten', 'ção']",nome feminino,"['abʃ', 'tẽ', 'sˈɐ̃w']",1
abstencionismo,"['abs', 'ten', 'ci', 'o', 'nis', 'mo']",nome masculino,"['abʃ', 'tẽ', 'sjõ', 'nˈiʒ', 'mʊ']",2
abstencionista,"['abs', 'ten', 'ci', 'o', 'nis', 'ta']",adjetivo,"['abʃ', 'tẽ', 'sjõ', 'nˈiʃ', 'tɐ']",2
abstencionista,"['abs', 'ten', 'ci', 'o', 'nis', 'ta']",nome masculino,"['abʃ', 'tẽ', 'sjõ', 'nˈiʃ', 'tɐ ou abʃ', 'tẽ', 'sjõ', 'nˈiʃ', 'tɐ']",2
abster,"['abs', 'ter']",verbo,"['abʃ', 'tˈe']",1
abstinência,"['abs', 'ti', 'nên', 'ci', 'a']",nome feminino,"['abʃ', 'tʃĩ', 'nˈẽ', 'sjɐ']",3
abstinente,"['abs', 'ti', 'nen', 'te']",adjetivo,"['abʃ', 'tʃĩ', 'nˈẽ', 'tʃɪ']",2
abstinente,"['abs', 'ti', 'nen', 'te']",nome masculino,"['abʃ', 'tʃĩ', 'nˈẽ', 'tʃɪ']",2
abstinente,"['abs', 'ti', 'nen', 'te']",nome feminino,"['abʃ', 'tʃĩ', 'nˈẽ', 'tʃɪ']",2
abstinentemente,"['abs', 'ti', 'nen', 'te', 'men', 'te']",advérbio,"['abʃ', 'tʃĩ', 'nẽ', 'tẽ', 'mˈẽ', 'tʃɪ']",2
abstração,"['abs', 'tra', 'ção']",nome feminino,"['abʃ', 'tɾa', 'sˈɐ̃w ou abʃ', 'tɾa', 'sˈɐ̃w']",1
abstracionismo,"['abs', 'tra', 'ci', 'o', 'nis', 'mo']",nome masculino,"['abʃ', 'tɾa', 'sjõ', 'nˈiʒ', 'mʊ']",2
abstracionista,"['abs', 'tra', 'ci', 'o', 'nis', 'ta']",adjetivo,"['abʃ', 'tɾa', 'sjõ', 'nˈiʃ', 'tɐ']",2
abstracionista,"['abs', 'tra', 'ci', 'o', 'nis', 'ta']",nome masculino,"['abʃ', 'tɾa', 'sjõ', 'nˈiʃ', 'tɐ']",2
abstracionista,"['abs', 'tra', 'ci', 'o', 'nis', 'ta']",nome feminino,"['abʃ', 'tɾa', 'sjõ', 'nˈiʃ', 'tɐ']",2
abstrair,"['abs', 'tra', 'ir']",verbo,"['abʃ', 'tɾa', 'ˈi']",1
abstrata,"['abs', 'tra', 'ta']",nome feminino,"['abʃ', 'tɾˈa', 'tɐ']",2
abstratamente,"['abs', 'tra', 'ta', 'men', 'te']",advérbio,"['abʃ', 'tɾa', 'tã', 'mˈẽ', 'tʃɪ']",2
abstratizante,"['abs', 'tra', 'ti', 'zan', 'te']",adjetivo,"['abʃ', 'tɾa', 'tʃi', 'zˈɐ̃', 'tʃɪ']",2
abstratizar,"['abs', 'tra', 'ti', 'zar']",verbo,"['abʃ', 'tɾa', 'tʃi', 'zˈa']",1
abstrato,"['abs', 'tra', 'to']",adjetivo,"['abʃ', 'tɾˈa', 'tʊ ou abʃ', 'tɾˈa', 'tʊ']",2
abstrato,"['abs', 'tra', 'to']",nome masculino,"['abʃ', 'tɾˈa', 'tʊ']",2
abstrusamente,"['abs', 'tru', 'sa', 'men', 'te']",advérbio,"['abʃ', 'tɾu', 'zã', 'mˈẽ', 'tʃɪ']",2
abstruso,"['abs', 'tru', 'so']",adjetivo,"['abʃ', 'tɾˈu', 'zʊ']",2
absurdamente,"['ab', 'sur', 'da', 'men', 'te']",advérbio,"['a', 'bə', 'suɦ', 'dã', 'mˈẽ', 'tʃɪ']",2
absurdez,"['ab', 'sur', 'dez']",nome feminino,"['ab', 'suɦ', 'dˈeʃ']",1
absurdidade,"['ab', 'sur', 'di', 'da', 'de']",nome feminino,"['a', 'bə', 'suɦ', 'dʒi', 'dˈa', 'dʒɪ']",2
absurdismo,"['ab', 'sur', 'dis', 'mo']",nome masculino,"['a', 'bə', 'suɦ', 'dʒˈiʒ', 'mʊ']",2
absurdo,"['ab', 'sur', 'do']",nome masculino,"['a', 'bə', 'sˈuɦ', 'dʊ']",2
absurdo,"['ab', 'sur', 'do']",adjetivo,"['a', 'bə', 'sˈuɦ', 'dʊ']",2
abu,"['a', 'bu']",nome masculino,"['a', 'bˈu']",2
abulia,"['a', 'bu', 'li', 'a']",nome feminino,"['a', 'bu', 'lˈi', 'ɐ']",2
abúlica,"['a', 'bú', 'li', 'ca']",nome feminino,"['a', 'bˈu', 'li', 'kɐ']",3
abulicamente,"['a', 'bu', 'li', 'ca', 'men', 'te']",advérbio,"['a', 'bu', 'li', 'kã', 'mˈẽ', 'tʃɪ']",2
abúlico,"['a', 'bú', 'li', 'co']",adjetivo,"['a', 'bˈu', 'li', 'kʊ']",3
abúlico,"['a', 'bú', 'li', 'co']",nome masculino,"['a', 'bˈu', 'li', 'kʊ']",3
