palavra,divisao,categoria,fonetica,tonic
gaio,"['gai', 'o']",adjetivo,"['gˈaj', 'ʊ']",2
gaiola,"['gai', 'o', 'la']",nome feminino,"['gaj', 'ˈɔ', 'lɐ']",2
gaioleiro,"['gai', 'o', 'lei', 'ro']",nome masculino,"['gaj', 'o', 'lˈej', 'ɾʊ']",2
gaiolo,"['gai', 'o', 'lo']",nome masculino,"['gaj', 'ˈo', 'lʊ']",2
gaiolo,"['gai', 'o', 'lo']",adjetivo,"['gaj', 'ˈo', 'lʊ']",2
gaita,"['gai', 'ta']",nome feminino,"['gˈaj', 'tɐ']",2
gaita de foles,"['gai', 'ta de fo', 'les']",nome feminino,"['gˌaj', 'tɐ', 'dʒi', 'fˈɔ', 'lɪʃ']",2
gaitada,"['gai', 'ta', 'da']",nome feminino,"['gaj', 'tˈa', 'dɐ']",2
gaiteirice,"['gai', 'tei', 'ri', 'ce']",nome feminino,"['gaj', 'tej', 'ɾˈi', 'sɪ']",2
gaiteiro,"['gai', 'tei', 'ro']",nome masculino,"['gaj', 'tˈej', 'ɾʊ']",2
gaiteiro,"['gai', 'tei', 'ro']",adjetivo,"['gaj', 'tˈej', 'ɾʊ']",2
gaivão,"['gai', 'vão']",nome masculino,"['gaj', 'vˈɐ̃w']",1
gaivota,"['gai', 'vo', 'ta']",nome feminino,"['gaj', 'vˈɔ', 'tɐ']",2
gaivoto,"['gai', 'vo', 'to']",nome masculino,"['gaj', 'vˈo', 'tʊ']",2
gaja,"['ga', 'ja']",nome feminino,"['gˈa', 'ʒɐ']",2
gajar,"['ga', 'jar']",verbo,"['ga', 'ʒˈa']",1
gajas,"['ga', 'jas']",nome feminino,"['gˈa', 'ʒɐʃ']",2
gajeiro,"['ga', 'jei', 'ro']",adjetivo,"['ga', 'ʒˈej', 'ɾʊ']",2
gajeiro,"['ga', 'jei', 'ro']",nome masculino,"['ga', 'ʒˈej', 'ɾʊ']",2
gajo,"['ga', 'jo']",nome masculino,"['gˈa', 'ʒʊ']",2
gal,['gal'],nome masculino,['gˈaw'],1
galã,"['ga', 'lã']",nome masculino,"['ga', 'lˈɐ̃']",1
gala,"['ga', 'la']",nome feminino,"['gˈa', 'lɐ']",2
galáctico,"['ga', 'lác', 'ti', 'co']",adjetivo,"['ga', 'lˈa', 'ki', 'tʃi', 'kʊ']",3
galafura,"['ga', 'la', 'fu', 'ra']",adjetivo,"['ga', 'la', 'fˈu', 'ɾɐ']",2
galafura,"['ga', 'la', 'fu', 'ra']",nome masculino,"['ga', 'la', 'fˈu', 'ɾɐ']",2
galaica,"['ga', 'lai', 'ca']",nome feminino,"['ga', 'lˈaj', 'kɐ']",2
galaico,"['ga', 'lai', 'co']",adjetivo,"['ga', 'lˈaj', 'kʊ']",2
galaico,"['ga', 'lai', 'co']",nome masculino,"['ga', 'lˈaj', 'kʊ']",2
galaico-português,"['ga', 'lai', 'co', 'por', 'tu', 'guês']",nome masculino,"['ga', 'lˌaj', 'ko', 'poh', 'tu', 'gˈeʃ']",1
