palavra,divisao,categoria,fonetica,tonic
segundo-tenente,"['se', 'gun', 'do', 'te', 'nen', 'te']",nome masculino,"['se', 'gˌũ', 'dʊ', 'tẽ', 'nˈẽ', 'tʃɪ']",2
segundo-tenente,"['se', 'gun', 'do', 'te', 'nen', 'te']",nome feminino,"['se', 'gˌũ', 'dʊ', 'tẽ', 'nˈẽ', 'tʃɪ']",2
segura,"['se', 'gu', 'ra']",nome feminino,"['se', 'gˈu', 'ɾɐ']",2
segurada,"['se', 'gu', 'ra', 'da']",nome feminino,"['se', 'gu', 'ɾˈa', 'dɐ']",2
segurado,"['se', 'gu', 'ra', 'do']",nome masculino,"['se', 'gu', 'ɾˈa', 'dʊ']",2
segurado,"['se', 'gu', 'ra', 'do']",adjetivo,"['se', 'gu', 'ɾˈa', 'dʊ']",2
segurador,"['se', 'gu', 'ra', 'dor']",adjetivo,"['se', 'gu', 'ɾa', 'dˈo']",1
segurador,"['se', 'gu', 'ra', 'dor']",nome masculino,"['se', 'gu', 'ɾa', 'dˈo']",1
seguradora,"['se', 'gu', 'ra', 'do', 'ra']",nome feminino,"['se', 'gu', 'ɾa', 'dˈo', 'ɾɐ']",2
seguramente,"['se', 'gu', 'ra', 'men', 'te']",advérbio,"['se', 'gu', 'ɾã', 'mˈẽ', 'tʃɪ']",2
segurança,"['se', 'gu', 'ran', 'ça']",nome masculino,"['se', 'gu', 'ɾˈɐ̃', 'sɐ']",2
segurança,"['se', 'gu', 'ran', 'ça']",nome feminino,"['se', 'gu', 'ɾˈɐ̃', 'sɐ']",2
segurar,"['se', 'gu', 'rar']",verbo,"['se', 'gu', 'ɾˈa']",1
segure,"['se', 'gu', 're']",nome feminino,"['se', 'gˈu', 'ɾɪ']",2
segurelha,"['se', 'gu', 're', 'lha']",nome feminino,"['se', 'gu', 'ɾˈe', 'ʎɐ']",2
seguridade,"['se', 'gu', 'ri', 'da', 'de']",nome feminino,"['se', 'gu', 'ɾi', 'dˈa', 'dʒɪ']",2
seguríssimo,"['se', 'gu', 'rís', 'si', 'mo']",adjetivo,"['se', 'gu', 'ɾˈi', 'sĩ', 'mʊ']",3
seguro,"['se', 'gu', 'ro']",adjetivo,"['se', 'gˈu', 'ɾʊ']",2
seguro,"['se', 'gu', 'ro']",nome masculino,"['se', 'gˈu', 'ɾʊ']",2
seguro,"['se', 'gu', 'ro']",advérbio,"['se', 'gˈu', 'ɾʊ']",2
seiça,"['sei', 'ça']",nome feminino,"['sˈej', 'sɐ']",2
seiceiro,"['sei', 'cei', 'ro']",nome masculino,"['sej', 'sˈej', 'ɾʊ']",2
seima,"['sei', 'ma']",nome feminino,"['sˈẽj', 'mɐ']",2
seio,"['sei', 'o']",nome masculino,"['sˈej', 'ʊ']",2
seira,"['sei', 'ra']",nome feminino,"['sˈej', 'ɾɐ']",2
seis,['seis'],nome masculino,['sˈejʃ'],1
seis,['seis'],número,['sˈejʃ'],1
seiscentista,"['seis', 'cen', 'tis', 'ta']",nome masculino,"['sej', 'sẽ', 'tʃˈiʃ', 'tɐ']",2
