palavra,divisao,categoria,fonetica,tonic
microcosmológico,"['mi', 'cro', 'cos', 'mo', 'ló', 'gi', 'co']",adjetivo,"['mi', 'kɾo', 'koʒ', 'mo', 'lˈɔ', 'ʒi', 'kʊ']",3
microcosmos,"['mi', 'cro', 'cos', 'mos']",nome masculino,"['mi', 'kɾo', 'kˈɔʒ', 'mʊʃ']",2
microcristalino,"['mi', 'cro', 'cris', 'ta', 'li', 'no']",adjetivo,"['mi', 'kɾo', 'kɾiʃ', 'ta', 'lˈĩ', 'nʊ']",2
microcronómetro,"['mi', 'cro', 'cro', 'nó', 'me', 'tro']",nome masculino,"['mi', 'kɾo', 'kɾõ', 'nˈɔ̃', 'me', 'tɾʊ']",3
microcultura,"['mi', 'cro', 'cul', 'tu', 'ra']",nome feminino,"['mi', 'kɾo', 'kuw', 'tˈu', 'ɾɐ']",2
microdicionário,"['mi', 'cro', 'di', 'ci', 'o', 'ná', 'ri', 'o']",nome masculino,"['mi', 'kɾo', 'dʒi', 'sjõ', 'nˈa', 'ɾjʊ']",3
microdissecação,"['mi', 'cro', 'dis', 'se', 'ca', 'ção']",nome feminino,"['mi', 'kɾo', 'dʒi', 'se', 'ka', 'sˈɐ̃w']",1
microeconomia,"['mi', 'cro', 'e', 'co', 'no', 'mi', 'a']",nome feminino,"['mi', 'kɾo', 'e', 'kɔ̃', 'nõ', 'mˈi', 'ɐ']",2
microeconómico,"['mi', 'cro', 'e', 'co', 'nó', 'mi', 'co']",adjetivo,"['mi', 'kɾo', 'e', 'kõ', 'nˈɔ̃', 'mi', 'kʊ']",3
microelectrônica,"['mi', 'cro', 'e', 'lec', 'trô', 'ni', 'ca']",nome feminino,"['mi', 'kɾo', 'e', 'lek', 'tɾˈɔ̃', 'ni', 'kɐ']",3
microelemento,"['mi', 'cro', 'e', 'le', 'men', 'to']",nome masculino,"['mi', 'kɾo', 'e', 'lẽ', 'mˈẽ', 'tʊ']",2
microeletrónica,"['mi', 'cro', 'e', 'le', 'tró', 'ni', 'ca']",nome feminino,"['mi', 'kɾo', 'e', 'le', 'tɾˈɔ̃', 'ni', 'kɐ']",3
microeletrônica,"['mi', 'cro', 'e', 'le', 'trô', 'ni', 'ca']",nome feminino,"['mi', 'kɾo', 'e', 'le', 'tɾˈõ', 'ni', 'kɐ']",3
microempresa,"['mi', 'cro', 'em', 'pre', 'sa']",nome feminino,"['mi', 'kɾo', 'ẽ', 'pɾˈe', 'zɐ']",2
microempresário,"['mi', 'cro', 'em', 'pre', 'sá', 'ri', 'o']",nome masculino,"['mi', 'kɾo', 'ẽ', 'pɾe', 'zˈa', 'ɾjʊ']",3
microengenharia,"['mi', 'cro', 'en', 'ge', 'nha', 'ri', 'a']",nome feminino,"['mi', 'kɾo', 'ẽ', 'ʒẽ', 'ɲa', 'ɾˈi', 'ɐ']",2
microengenheiro,"['mi', 'cro', 'en', 'ge', 'nhei', 'ro']",nome masculino,"['mi', 'kɾo', 'ẽ', 'ʒẽ', 'ɲˈej', 'ɾʊ']",2
microestado,"['mi', 'cro', 'es', 'ta', 'do']",nome masculino,"['mi', 'kɾo', 'eʃ', 'tˈa', 'dʊ']",2
microestrutura,"['mi', 'cro', 'es', 'tru', 'tu', 'ra']",nome feminino,"['mi', 'kɾo', 'iʃ', 'tɾu', 'tˈu', 'ɾɐ']",2
microevolução,"['mi', 'cro', 'e', 'vo', 'lu', 'ção']",nome feminino,"['mi', 'kɾo', 'e', 'vo', 'lu', 'sˈɐ̃w']",1
microevolutivo,"['mi', 'cro', 'e', 'vo', 'lu', 'ti', 'vo']",adjetivo,"['mi', 'kɾo', 'e', 'vo', 'lu', 'tʃˈi', 'vʊ']",2
microfarad,"['mi', 'cro', 'fa', 'rad']",nome masculino,"['mi', 'kɾo', '']",2
microfauna,"['mi', 'cro', 'fau', 'na']",nome feminino,"['mi', 'kɾo', 'fˈãw', 'nɐ']",2
microfaunístico,"['mi', 'cro', 'fau', 'nís', 'ti', 'co']",adjetivo,"['mi', 'kɾo', 'fãw', 'nˈiʃ', 'tʃi', 'kʊ']",3
microficha,"['mi', 'cro', 'fi', 'cha']",nome feminino,"['mi', 'kɾo', 'fˈi', 'ʃɐ']",2
microfilmagem,"['mi', 'cro', 'fil', 'ma', 'gem']",nome feminino,"['mi', 'kɾo', 'fiw', 'mˈa', 'ʒẽj']",2
microfilmar,"['mi', 'cro', 'fil', 'mar']",verbo,"['mi', 'kɾo', 'fiw', 'mˈa']",1
microfilme,"['mi', 'cro', 'fil', 'me']",nome masculino,"['mi', 'kɾo', 'fˈiw', 'mɪ']",2
microfilo,"['mi', 'cro', 'fi', 'lo']",adjetivo,"['mi', 'kɾo', 'fˈi', 'lʊ']",2
microfísica,"['mi', 'cro', 'fí', 'si', 'ca']",nome feminino,"['mi', 'kɾo', 'fˈi', 'zi', 'kɐ']",3
microflora,"['mi', 'cro', 'flo', 'ra']",nome feminino,"['mi', 'kɾo', 'flˈɔ', 'ɾɐ']",2
microfone,"['mi', 'cro', 'fo', 'ne']",nome masculino,"['mi', 'kɾo', 'fˈõ', 'nɪ']",2
microfonia,"['mi', 'cro', 'fo', 'ni', 'a']",nome feminino,"['mi', 'kɾo', 'fõ', 'nˈi', 'ɐ']",2
microfónico,"['mi', 'cro', 'fó', 'ni', 'co']",adjetivo,"['mi', 'kɾo', 'fˈɔ̃', 'ni', 'kʊ']",3
microfonográfico,"['mi', 'cro', 'fo', 'no', 'grá', 'fi', 'co']",adjetivo,"['mi', 'kɾo', 'fõ', 'no', 'gɾˈa', 'fi', 'kʊ']",3
microfonógrafo,"['mi', 'cro', 'fo', 'nó', 'gra', 'fo']",nome masculino,"['mi', 'kɾo', 'fõ', 'nˈɔ', 'gɾa', 'fʊ']",3
microfóssil,"['mi', 'cro', 'fós', 'sil']",nome masculino,"['mi', 'kɾo', 'fˈɔ', 'siw']",2
microfotografia,"['mi', 'cro', 'fo', 'to', 'gra', 'fi', 'a']",nome feminino,"['mi', 'kɾo', 'fo', 'to', 'gɾa', 'fˈi', 'ɐ']",2
microfotográfico,"['mi', 'cro', 'fo', 'to', 'grá', 'fi', 'co']",adjetivo,"['mi', 'kɾo', 'fo', 'to', 'gɾˈa', 'fi', 'kʊ']",3
microgâmeta,"['mi', 'cro', 'gâ', 'me', 'ta']",nome masculino,"['mi', 'kɾo', 'gˈɐ̃', 'me', 'tɐ']",3
microglia,"['mi', 'cro', 'gli', 'a']",nome feminino,"['mi', 'kɾo', 'glˈi', 'ɐ']",2
micrografar,"['mi', 'cro', 'gra', 'far']",verbo,"['mi', 'kɾo', 'gɾa', 'fˈaɾ']",4
micrografia,"['mi', 'cro', 'gra', 'fi', 'a']",nome feminino,"['mi', 'kɾo', 'gɾa', 'fˈi', 'ɐ']",2
micrográfico,"['mi', 'cro', 'grá', 'fi', 'co']",adjetivo,"['mi', 'kɾo', 'gɾˈa', 'fi', 'kʊ']",3
micrograma,"['mi', 'cro', 'gra', 'ma']",nome masculino,"['mi', 'kɾo', 'gɾˈɐ̃', 'mɐ']",2
microgranito,"['mi', 'cro', 'gra', 'ni', 'to']",nome masculino,"['mi', 'kɾo', 'gɾã', 'nˈi', 'tʊ']",2
microgranular,"['mi', 'cro', 'gra', 'nu', 'lar']",adjetivo,"['mi', 'kɾo', 'gɾã', 'nu', 'lˈaɾ']",1
microgravação,"['mi', 'cro', 'gra', 'va', 'ção']",nome feminino,"['mi', 'kɾo', 'gɾa', 'va', 'sˈɐ̃w']",1
microgravar,"['mi', 'cro', 'gra', 'var']",verbo,"['mi', 'kɾo', 'gɾa', 'vˈaɾ']",1
microgravidade,"['mi', 'cro', 'gra', 'vi', 'da', 'de']",nome feminino,"['mi', 'kɾo', 'gɾa', 'vi', 'dˈa', 'dʒɪ']",2
microinformática,"['mi', 'cro', 'in', 'for', 'má', 'ti', 'ca']",nome feminino,"['mi', 'kɾo', 'ĩ', 'foɦ', 'mˈa', 'tʃi', 'kɐ']",3
microinformático,"['mi', 'cro', 'in', 'for', 'má', 'ti', 'co']",adjetivo,"['mi', 'kɾo', 'ĩ', 'foɦ', 'mˈa', 'tʃi', 'kʊ']",3
microleitor,"['mi', 'cro', 'lei', 'tor']",nome masculino,"['mi', 'kɾo', 'lej', 'tˈoɾ']",1
microlena,"['mi', 'cro', 'le', 'na']",nome feminino,"['mi', 'kɾo', 'lˈẽ', 'nɐ']",2
microlepidóptero,"['mi', 'cro', 'le', 'pi', 'dóp', 'te', 'ro']",nome masculino,"['mi', 'kɾo', 'le', 'pi', 'dˈɔ', 'pi', 'te', 'ɾʊ']",3
microlita,"['mi', 'cro', 'li', 'ta']",nome feminino,"['mi', 'kɾo', 'lˈi', 'tɐ']",2
microlítico,"['mi', 'cro', 'lí', 'ti', 'co']",adjetivo,"['mi', 'kɾo', 'lˈi', 'tʃi', 'kʊ']",3
microlitro,"['mi', 'cro', 'li', 'tro']",nome masculino,"['mi', 'kɾo', 'lˈi', 'tɾʊ']",2
micrológico,"['mi', 'cro', 'ló', 'gi', 'co']",adjetivo,"['mi', 'kɾo', 'lˈɔ', 'ʒi', 'kʊ']",3
