palavra,categoria,divisao_silabica,tonica_silabica_num,divisao_fonetica,tonica_fonetica_num
nado-morto,adjetivo,"['na', 'do', 'mor', 'to']",-2,"['nˌa', 'dʊ', 'mˈoh', 'tʊ']",-2
nado-vivo,nome masculino,"['na', 'do', 'vi', 'vo']",-2,"['nˌa', 'dʊ', 'vˈi', 'vʊ']",-2
nafta,nome feminino,"['naf', 'ta']",-2,"['nˈa', 'fə', 'tɐ']",-3
naftaleno,nome masculino,"['naf', 'ta', 'le', 'no']",-2,"['na', 'fə', 'ta', 'lˈẽ', 'nʊ']",-2
naftalina,nome feminino,"['naf', 'ta', 'li', 'na']",-2,"['na', 'fə', 'ta', 'lˈĩ', 'nɐ']",-2
naga,nome feminino,"['na', 'ga']",-2,"['nˈa', 'gɐ']",-2
naïf,adjetivo,"['na', 'ïf']",-1,[''],0
naïf,nome masculino,"['na', 'ïf']",-2,[''],0
naifa,nome feminino,"['nai', 'fa']",-2,"['nˈaj', 'fɐ']",-2
naipe,nome masculino,"['nai', 'pe']",-2,"['nˈaj', 'pɪ']",-2
naira,nome masculino,"['nai', 'ra']",-2,"['nˈaj', 'ɾɐ']",-2
naïve,adjetivo,"['na', 'ï', 've']",-2,[''],0
nalga,nome feminino,"['nal', 'ga']",-2,"['nˈaw', 'gɐ']",-2
nalgada,nome feminino,"['nal', 'ga', 'da']",-2,"['naw', 'gˈa', 'dɐ']",-2
nalgum,,"['nal', 'gum']",-1,"['naw', 'gˈũ']",-1
namibiano,nome masculino,"['na', 'mi', 'bi', 'a', 'no']",-2,"['nã', 'mi', 'bi', 'ˈɐ̃', 'nʊ']",-2
namibiano,adjetivo,"['na', 'mi', 'bi', 'a', 'no']",-2,"['nã', 'mi', 'bi', 'ˈɐ̃', 'nʊ']",-2
namoradeira,nome feminino,"['na', 'mo', 'ra', 'dei', 'ra']",-2,"['nã', 'mo', 'ɾa', 'dˈej', 'ɾɐ']",-2
namoradeiro,adjetivo,"['na', 'mo', 'ra', 'dei', 'ro']",-2,"['nã', 'mo', 'ɾa', 'dˈej', 'ɾʊ']",-2
namoradeiro,nome masculino,"['na', 'mo', 'ra', 'dei', 'ro']",-2,"['nã', 'mo', 'ɾa', 'dˈej', 'ɾʊ']",-2
namorado,adjetivo,"['na', 'mo', 'ra', 'do']",-2,"['nã', 'mo', 'ɾˈa', 'dʊ']",-2
