palavra,categoria,divisao_silabica,tonica_silabica_num,divisao_fonetica,tonica_fonetica_num
espinheira,nome feminino,"['es', 'pi', 'nhei', 'ra']",-2,"['iʃ', 'pĩ', 'ɲˈej', 'ɾɐ']",-2
espinheiro,nome masculino,"['es', 'pi', 'nhei', 'ro']",-2,"['iʃ', 'pĩ', 'ɲˈej', 'ɾʊ']",-2
espinhel,nome masculino,"['es', 'pi', 'nhel']",-1,"['iʃ', 'pĩ', 'ɲˈɛw']",-1
espinhela,nome feminino,"['es', 'pi', 'nhe', 'la']",-2,"['iʃ', 'pĩ', 'ɲˈɛ', 'lɐ']",-2
espinhense,adjetivo,"['es', 'pi', 'nhen', 'se']",-2,"['iʃ', 'pĩ', 'ɲˈẽ', 'sɪ']",-2
espinhense,nome masculino,"['es', 'pi', 'nhen', 'se']",-2,"['iʃ', 'pĩ', 'ɲˈẽ', 'sɪ']",-2
espinho,nome masculino,"['es', 'pi', 'nho']",-2,"['iʃ', 'pˈĩ', 'ɲʊ']",-2
espinhoso,adjetivo,"['es', 'pi', 'nho', 'so']",-2,"['iʃ', 'pĩ', 'ɲˈo', 'zʊ']",-2
espiolhar,verbo,"['es', 'pi', 'o', 'lhar']",-1,"['iʃ', 'pjo', 'ʎˈa']",-1
espionagem,nome feminino,"['es', 'pi', 'o', 'na', 'gem']",-2,"['iʃ', 'pjõ', 'nˈa', 'ʒẽj']",-2
espionar,verbo,"['es', 'pi', 'o', 'nar']",-1,"['iʃ', 'pjõ', 'nˈa']",-1
espira,nome feminino,"['es', 'pi', 'ra']",-2,"['iʃ', 'pˈi', 'ɾɐ']",-2
espiral,adjetivo,"['es', 'pi', 'ral']",-1,"['iʃ', 'pi', 'ɾˈaw']",-1
espiral,nome feminino,"['es', 'pi', 'ral']",-1,"['iʃ', 'pi', 'ɾˈaw']",-1
espiralado,adjetivo,"['es', 'pi', 'ra', 'la', 'do']",-2,"['iʃ', 'pi', 'ɾa', 'lˈa', 'dʊ']",-2
espiralar,verbo,"['es', 'pi', 'ra', 'lar']",-1,"['iʃ', 'pi', 'ɾa', 'lˈa']",-1
espirar,verbo,"['es', 'pi', 'rar']",-1,"['iʃ', 'pi', 'ɾˈa']",-1
espirita,adjetivo,"['es', 'pi', 'ri', 'ta']",-2,"['iʃ', 'pi', 'ɾˈi', 'tɐ']",-2
espirita,nome masculino,"['es', 'pi', 'ri', 'ta']",-2,"['iʃ', 'pi', 'ɾˈi', 'tɐ']",-2
espírita,adjetivo,"['es', 'pí', 'ri', 'ta']",-3,"['iʃ', 'pˈi', 'ɾi', 'tɐ']",-3
espírita,nome masculino,"['es', 'pí', 'ri', 'ta']",-3,"['iʃ', 'pˈi', 'ɾi', 'tɐ']",-3
espiritar,verbo,"['es', 'pi', 'ri', 'tar']",-1,"['iʃ', 'pi', 'ɾi', 'tˈa']",-1
espiritismo,nome masculino,"['es', 'pi', 'ri', 'tis', 'mo']",-2,"['iʃ', 'pi', 'ɾi', 'tʃˈiʒ', 'mʊ']",-2
espírito,nome masculino,"['es', 'pí', 'ri', 'to']",-3,"['iʃ', 'pˈi', 'ɾi', 'tʊ']",-3
espiritual,adjetivo,"['es', 'pi', 'ri', 'tu', 'al']",-1,"['iʃ', 'pi', 'ɾi', 'tu', 'ˈaw']",-1
espiritual,nome masculino,"['es', 'pi', 'ri', 'tu', 'al']",-1,"['iʃ', 'pi', 'ɾi', 'tu', 'ˈaw']",-1
espiritualidade,nome feminino,"['es', 'pi', 'ri', 'tu', 'a', 'li', 'da', 'de']",-2,"['iʃ', 'pi', 'ɾi', 'tu', 'a', 'li', 'dˈa', 'dʒɪ']",-2
