palavra,categoria,divisao_silabica,tonica_silabica_num,divisao_fonetica,tonica_fonetica_num
quádruplo,número,"['quá', 'dru', 'plo']",-3,"['kwˈa', 'dɾu', 'plʊ']",-3
quádruplo,nome masculino,"['quá', 'dru', 'plo']",-3,"['kwˈa', 'dɾu', 'plʊ']",-3
quádruplo,adjetivo,"['quá', 'dru', 'plo']",-3,"['kwˈa', 'dɾu', 'plʊ']",-3
qual,pronome,['qual'],-1,['kwˈaw'],-1
qual,artigo,['qual'],-1,['kwˈaw'],-1
qual,pronome,['qual'],-1,['kwˈaw'],-1
qual,conjunção,['qual'],-1,['kwˈaw'],-1
qual,interjeição,['qual'],-1,['kwˈaw'],-1
qualidade,nome feminino,"['qua', 'li', 'da', 'de']",-2,"['kwa', 'li', 'dˈa', 'dʒɪ']",-2
qualificação,nome feminino,"['qua', 'li', 'fi', 'ca', 'ção']",-1,"['kwa', 'li', 'fi', 'ka', 'sˈɐ̃w']",-1
qualificadamente,advérbio,"['qua', 'li', 'fi', 'ca', 'da', 'men', 'te']",-2,"['kwa', 'li', 'fi', 'ka', 'dã', 'mˈẽ', 'tʃɪ']",-2
qualificado,adjetivo,"['qua', 'li', 'fi', 'ca', 'do']",-2,"['kwa', 'li', 'fi', 'kˈa', 'dʊ']",-2
qualificador,adjetivo,"['qua', 'li', 'fi', 'ca', 'dor']",-1,"['kwa', 'li', 'fi', 'ka', 'dˈo']",-1
qualificador,nome masculino,"['qua', 'li', 'fi', 'ca', 'dor']",-1,"['kwa', 'li', 'fi', 'ka', 'dˈo']",-1
qualificar,verbo,"['qua', 'li', 'fi', 'car']",-1,"['kwa', 'li', 'fi', 'kˈa']",-1
qualificativamente,advérbio,"['qua', 'li', 'fi', 'ca', 'ti', 'va', 'men', 'te']",-2,"['kwa', 'li', 'fi', 'ka', 'tʃi', 'vã', 'mˈẽ', 'tʃɪ']",-2
qualificativo,adjetivo,"['qua', 'li', 'fi', 'ca', 'ti', 'vo']",-2,"['kwa', 'li', 'fi', 'ka', 'tʃˈi', 'vʊ']",-2
qualificativo,nome masculino,"['qua', 'li', 'fi', 'ca', 'ti', 'vo']",-2,"['kwa', 'li', 'fi', 'ka', 'tʃˈi', 'vʊ']",-2
qualificável,adjetivo,"['qua', 'li', 'fi', 'cá', 'vel']",-2,"['kwa', 'li', 'fi', 'kˈa', 'vew']",-2
qualitativamente,advérbio,"['qua', 'li', 'ta', 'ti', 'va', 'men', 'te']",-2,"['kwa', 'li', 'ta', 'tʃi', 'vã', 'mˈẽ', 'tʃɪ']",-2
qualitativo,adjetivo,"['qua', 'li', 'ta', 'ti', 'vo']",-2,"['kwa', 'li', 'ta', 'tʃˈi', 'vʊ']",-2
