palavra,categoria,divisao_silabica,tonica_silabica_num,divisao_fonetica,tonica_fonetica_num
agitar,verbo,"['a', 'gi', 'tar']",-1,"['a', 'ʒi', 'tˈa']",-1
agitato,adjetivo,"['a', 'gi', 'ta', 'to']",-2,"['a', 'ʒi', 'tˈa', 'tʊ']",-2
agitprop,nome masculino,"['a', 'git', 'prop']",-2,[''],0
aglomeração,nome feminino,"['a', 'glo', 'me', 'ra', 'ção']",-1,"['a', 'glõ', 'me', 'ɾa', 'sˈɐ̃w']",-1
aglomerada,nome feminino,"['a', 'glo', 'me', 'ra', 'da']",-2,"['a', 'glõ', 'me', 'ɾˈa', 'dɐ']",-2
aglomeradamente,advérbio,"['a', 'glo', 'me', 'ra', 'da', 'men', 'te']",-2,"['a', 'glõ', 'me', 'ɾa', 'dã', 'mˈẽ', 'tʃɪ']",-2
aglomerado,adjetivo,"['a', 'glo', 'me', 'ra', 'do']",-2,"['a', 'glõ', 'me', 'ɾˈa', 'dʊ']",-2
aglomerado,nome masculino,"['a', 'glo', 'me', 'ra', 'do']",-2,"['a', 'glõ', 'me', 'ɾˈa', 'dʊ']",-2
aglomerar,verbo,"['a', 'glo', 'me', 'rar']",-1,"['a', 'glõ', 'me', 'ɾˈa']",-1
aglutinação,nome feminino,"['a', 'glu', 'ti', 'na', 'ção']",-1,"['a', 'glu', 'tʃĩ', 'na', 'sˈɐ̃w']",-1
aglutinadamente,advérbio,"['a', 'glu', 'ti', 'na', 'da', 'men', 'te']",-2,"['a', 'glu', 'tʃĩ', 'na', 'dã', 'mˈẽ', 'tʃɪ']",-2
aglutinado,adjetivo,"['a', 'glu', 'ti', 'na', 'do']",-2,"['a', 'glu', 'tʃĩ', 'nˈa', 'dʊ']",-2
aglutinador,adjetivo,"['a', 'glu', 'ti', 'na', 'dor']",-1,"['a', 'glu', 'tʃĩ', 'na', 'dˈo']",-1
aglutinador,nome masculino,"['a', 'glu', 'ti', 'na', 'dor']",-1,"['a', 'glu', 'tʃĩ', 'na', 'dˈo']",-1
aglutinante,adjetivo,"['a', 'glu', 'ti', 'nan', 'te']",-2,"['a', 'glu', 'tʃĩ', 'nˈɐ̃', 'tʃɪ']",-2
aglutinante,nome masculino,"['a', 'glu', 'ti', 'nan', 'te']",-2,"['a', 'glu', 'tʃĩ', 'nˈɐ̃', 'tʃɪ']",-2
aglutinar,verbo,"['a', 'glu', 'ti', 'nar']",-1,"['a', 'glu', 'tʃĩ', 'nˈa']",-1
agnóstica,nome feminino,"['ag', 'nós', 'ti', 'ca']",-3,"['a', 'gə̃', 'nˈɔʃ', 'tʃi', 'kɐ']",-3
agnosticamente,advérbio,"['ag', 'nos', 'ti', 'ca', 'men', 'te']",-2,"['a', 'gə̃', 'nɔʃ', 'tʃi', 'kã', 'mˈẽ', 'tʃɪ']",-2
agnosticismo,nome masculino,"['ag', 'nos', 'ti', 'cis', 'mo']",-2,"['a', 'gə̃', 'noʃ', 'tʃi', 'sˈiʒ', 'mʊ']",-2
