palavra,categoria,divisao_silabica,tonica_silabica_num,divisao_fonetica,tonica_fonetica_num
ultrarroxo,adjetivo,"['ul', 'trar', 'ro', 'xo']",-2,"['uw', 'tɾa', 'ɦˈo', 'ʃʊ']",-2
ultrassecreto,adjetivo,"['ul', 'tras', 'se', 'cre', 'to']",-2,"['uw', 'tɾa', 'se', 'kɾˈɛ', 'tʊ']",-2
ultrassecular,adjetivo,"['ul', 'tras', 'se', 'cu', 'lar']",-1,"['uw', 'tɾa', 'se', 'ku', 'lˈaɾ']",-1
ultrassensível,adjetivo,"['ul', 'tras', 'sen', 'sí', 'vel']",-2,"['uw', 'tɾa', 'sẽ', 'sˈi', 'vew']",-2
ultrassofisticado,adjetivo,"['ul', 'tras', 'so', 'fis', 'ti', 'ca', 'do']",-2,"['uw', 'tɾa', 'so', 'fiʃ', 'tʃi', 'kˈa', 'dʊ']",-2
ultrassolar,adjetivo,"['ul', 'tras', 'so', 'lar']",-1,"['uw', 'tɾa', 'so', 'lˈaɾ']",-1
ultrassom,nome masculino,"['ul', 'tras', 'som']",-2,"['uw', 'tɾa', 'sˈõ']",-1
ultrassónico,adjetivo,"['ul', 'tras', 'só', 'ni', 'co']",-3,"['uw', 'tɾa', 'sˈɔ̃', 'ni', 'kʊ']",-3
ultrassonoro,adjetivo,"['ul', 'tras', 'so', 'no', 'ro']",-2,"['uw', 'tɾa', 'sõ', 'nˈɔ', 'ɾʊ']",-2
ultraterreno,adjetivo,"['ul', 'tra', 'ter', 're', 'no']",-2,"['uw', 'tɾa', 'te', 'ɦˈɛ̃', 'nʊ']",-2
ultraterrestre,adjetivo,"['ul', 'tra', 'ter', 'res', 'tre']",-2,"['uw', 'tɾa', 'te', 'ɦˈɛʃ', 'tɾɪ']",-2
ultratumular,adjetivo,"['ul', 'tra', 'tu', 'mu', 'lar']",-1,"['uw', 'tɾa', 'tũ', 'mu', 'lˈaɾ']",-1
ultraveloz,adjetivo,"['ul', 'tra', 've', 'loz']",-1,"['uw', 'tɾa', 've', 'lˈɔʃ']",-1
ultravermelho,adjetivo,"['ul', 'tra', 'ver', 'me', 'lho']",-2,"['uw', 'tɾa', 'veɦ', 'mˈe', 'ʎʊ']",-2
ultravioleta,adjetivo,"['ul', 'tra', 'vi', 'o', 'le', 'ta']",-2,"['uw', 'tɾa', 'vjo', 'lˈe', 'tɐ']",-2
ultravioleta,nome masculino,"['ul', 'tra', 'vi', 'o', 'le', 'ta']",-2,"['uw', 'tɾa', 'vjo', 'lˈe', 'tɐ']",-2
ultravírus,nome masculino,"['ul', 'tra', 'ví', 'rus']",-2,"['uw', 'tɾa', 'vˈi', 'ɾʊʃ']",-2
ultrazodiacal,adjetivo,"['ul', 'tra', 'zo', 'di', 'a', 'cal']",-1,"['uw', 'tɾa', 'zo', 'dʒi', 'a', 'kˈaw']",-1
ululante,adjetivo,"['u', 'lu', 'lan', 'te']",-2,"['u', 'lu', 'lˈɐ̃', 'tʃɪ']",-2
ulular,verbo,"['u', 'lu', 'lar']",-1,"['u', 'lu', 'lˈa']",-1
um,artigo,['um'],-1,['ˈũ'],-1
um,nome masculino,['um'],-1,['ˈũ'],-1
um,adjetivo,['um'],-1,['ˈũ'],-1
um,pronome,['um'],-1,['ˈũ'],-1
um,número,['um'],-1,['ˈũ'],-1
uma,artigo,"['u', 'ma']",-2,"['ˈũ', 'mɐ']",-2
umar,verbo,"['u', 'mar']",-1,"['ũ', 'mˈa']",-1
umbanda,nome feminino,"['um', 'ban', 'da']",-2,"['ũ', 'bˈɐ̃', 'dɐ']",-2
umbelífera,nome feminino,"['um', 'be', 'lí', 'fe', 'ra']",-3,"['ũ', 'be', 'lˈi', 'fe', 'ɾɐ']",-3
umbelífero,adjetivo,"['um', 'be', 'lí', 'fe', 'ro']",-3,"['ũ', 'be', 'lˈi', 'fe', 'ɾʊ']",-3
umbigo,nome masculino,"['um', 'bi', 'go']",-2,"['ũ', 'bˈi', 'gʊ']",-2
umbilical,adjetivo,"['um', 'bi', 'li', 'cal']",-1,"['ũ', 'bi', 'li', 'kˈaw']",-1
umbral,nome masculino,"['um', 'bral']",-1,"['ũ', 'bɾˈaw']",-1
umbria,nome feminino,"['um', 'bri', 'a']",-2,"['ũ', 'bɾˈi', 'ɐ']",-2
umbro,nome masculino,"['um', 'bro']",-2,"['ˈũ', 'bɾʊ']",-2
umbro,adjetivo,"['um', 'bro']",-2,"['ˈũ', 'bɾʊ']",-2
umbundo,nome masculino,"['um', 'bun', 'do']",-2,"['ũ', 'bˈũ', 'dʊ']",-2
umbundo,adjetivo,"['um', 'bun', 'do']",-2,"['ũ', 'bˈũ', 'dʊ']",-2
umbuzeiro,nome masculino,"['um', 'bu', 'zei', 'ro']",-2,"['ũ', 'bu', 'zˈej', 'ɾʊ']",-2
ume,nome masculino,"['u', 'me']",-2,"['ˈũ', 'mɪ']",-2
úmero,nome masculino,"['ú', 'me', 'ro']",-3,"['ˈũ', 'me', 'ɾʊ']",-3
unamente,advérbio,"['u', 'na', 'men', 'te']",-2,"['ũ', 'nã', 'mˈẽ', 'tʃɪ']",-2
unanimar,verbo,"['u', 'na', 'ni', 'mar']",-1,"['ũ', 'nã', 'nĩ', 'mˈa']",-1
unânime,adjetivo,"['u', 'nâ', 'ni', 'me']",-3,"['ũ', 'nˈɐ̃', 'nĩ', 'mɪ']",-3
unanimemente,advérbio,"['u', 'na', 'ni', 'me', 'men', 'te']",-2,"['ũ', 'nã', 'nĩ', 'mẽ', 'mˈẽ', 'tʃɪ']",-2
unanimidade,nome feminino,"['u', 'na', 'ni', 'mi', 'da', 'de']",-2,"['ũ', 'nã', 'nĩ', 'mi', 'dˈa', 'dʒɪ']",-2
unanimismo,nome masculino,"['u', 'na', 'ni', 'mis', 'mo']",-2,"['ũ', 'nã', 'nĩ', 'mˈiʒ', 'mʊ']",-2
unanimista,nome masculino,"['u', 'na', 'ni', 'mis', 'ta']",-2,"['ũ', 'nã', 'nĩ', 'mˈiʃ', 'tɐ']",-2
unanimista,adjetivo,"['u', 'na', 'ni', 'mis', 'ta']",-2,"['ũ', 'nã', 'nĩ', 'mˈiʃ', 'tɐ']",-2
unar,verbo,"['u', 'nar']",-1,"['ũ', 'nˈa']",-1
unção,nome feminino,"['un', 'ção']",-1,"['ũ', 'sˈɐ̃w']",-1
undécimo,número,"['un', 'dé', 'ci', 'mo']",-3,"['ũ', 'dˈɛ', 'sĩ', 'mʊ']",-3
ungida,nome feminino,"['un', 'gi', 'da']",-2,"['ũ', 'ʒˈi', 'dɐ']",-2
ungido,adjetivo,"['un', 'gi', 'do']",-2,"['ũ', 'ʒˈi', 'dʊ']",-2
ungido,nome masculino,"['un', 'gi', 'do']",-2,"['ũ', 'ʒˈi', 'dʊ']",-2
ungir,verbo,"['un', 'gir']",-1,"['ũ', 'ʒˈi']",-1
unguentar,verbo,"['un', 'guen', 'tar']",-1,"['ũ', 'gwẽ', 'tˈa']",-1
unguento,nome masculino,"['un', 'guen', 'to']",-2,"['ũ', 'gwˈẽ', 'tʊ']",-2
ungulado,adjetivo,"['un', 'gu', 'la', 'do']",-2,"['ũ', 'gu', 'lˈa', 'dʊ']",-2
ungulado,nome masculino,"['un', 'gu', 'la', 'do']",-2,"['ũ', 'gu', 'lˈa', 'dʊ']",-2
unha,nome feminino,"['u', 'nha']",-2,"['ˈũ', 'ɲɐ']",-2
unhada,nome feminino,"['u', 'nha', 'da']",-2,"['ũ', 'ɲˈa', 'dɐ']",-2
unhão,nome masculino,"['u', 'nhão']",-1,"['ũ', 'ɲˈɐ̃w']",-1
unhar,verbo,"['u', 'nhar']",-1,"['ũ', 'ɲˈa']",-1
união,nome feminino,"['u', 'ni', 'ão']",-1,"['ũ', 'ni', 'ˈɐ̃w']",-1
única,nome feminino,"['ú', 'ni', 'ca']",-3,"['ˈũ', 'ni', 'kɐ']",-3
unicamente,advérbio,"['u', 'ni', 'ca', 'men', 'te']",-2,"['ũ', 'ni', 'kã', 'mˈẽ', 'tʃɪ']",-2
unicelular,adjetivo,"['u', 'ni', 'ce', 'lu', 'lar']",-1,"['ũ', 'ni', 'se', 'lu', 'lˈa']",-1
unicidade,nome feminino,"['u', 'ni', 'ci', 'da', 'de']",-2,"['ũ', 'ni', 'si', 'dˈa', 'dʒɪ']",-2
único,adjetivo,"['ú', 'ni', 'co']",-3,"['ˈũ', 'ni', 'kʊ']",-3
único,nome masculino,"['ú', 'ni', 'co']",-3,"['ˈũ', 'ni', 'kʊ']",-3
unicolor,adjetivo,"['u', 'ni', 'co', 'lor']",-1,"['ũ', 'ni', 'ko', 'lˈo']",-1
unicórnio,nome masculino,"['u', 'ni', 'cór', 'ni', 'o']",-3,"['ũ', 'ni', 'kˈɔɦ', 'njʊ']",-2
unidade,nome feminino,"['u', 'ni', 'da', 'de']",-2,"['ũ', 'ni', 'dˈa', 'dʒɪ']",-2
unidamente,advérbio,"['u', 'ni', 'da', 'men', 'te']",-2,"['ũ', 'ni', 'dã', 'mˈẽ', 'tʃɪ']",-2
unidimensional,adjetivo,"['u', 'ni', 'di', 'men', 'si', 'o', 'nal']",-1,"['ũ', 'ni', 'dʒĩ', 'mẽ', 'sjõ', 'nˈaw']",-1
unidirecional,adjetivo,"['u', 'ni', 'di', 're', 'ci', 'o', 'nal']",-1,"['ũ', 'ni', 'dʒi', 'ɾe', 'sjõ', 'nˈaw']",-1
unido,adjetivo,"['u', 'ni', 'do']",-2,"['ũ', 'nˈi', 'dʊ']",-2
unificação,nome feminino,"['u', 'ni', 'fi', 'ca', 'ção']",-1,"['ũ', 'ni', 'fi', 'ka', 'sˈɐ̃w']",-1
unificado,adjetivo,"['u', 'ni', 'fi', 'ca', 'do']",-2,"['ũ', 'ni', 'fi', 'kˈa', 'dʊ']",-2
unificador,adjetivo,"['u', 'ni', 'fi', 'ca', 'dor']",-1,"['ũ', 'ni', 'fi', 'ka', 'dˈo']",-1
unificador,nome masculino,"['u', 'ni', 'fi', 'ca', 'dor']",-1,"['ũ', 'ni', 'fi', 'ka', 'dˈo']",-1
unificadora,nome feminino,"['u', 'ni', 'fi', 'ca', 'do', 'ra']",-2,"['ũ', 'ni', 'fi', 'ka', 'dˈo', 'ɾɐ']",-2
unificar,verbo,"['u', 'ni', 'fi', 'car']",-1,"['ũ', 'ni', 'fi', 'kˈa']",-1
unificável,adjetivo,"['u', 'ni', 'fi', 'cá', 'vel']",-2,"['ũ', 'ni', 'fi', 'kˈa', 'vew']",-2
uniformar,verbo,"['u', 'ni', 'for', 'mar']",-1,"['ũ', 'ni', 'foɦ', 'mˈa']",-1
uniforme,nome masculino,"['u', 'ni', 'for', 'me']",-2,"['ũ', 'ni', 'fˈɔɦ', 'mɪ']",-2
uniforme,adjetivo,"['u', 'ni', 'for', 'me']",-2,"['ũ', 'ni', 'fˈɔɦ', 'mɪ']",-2
uniformemente,advérbio,"['u', 'ni', 'for', 'me', 'men', 'te']",-2,"['ũ', 'ni', 'fɔɦ', 'mẽ', 'mˈẽ', 'tʃɪ']",-2
uniformidade,nome feminino,"['u', 'ni', 'for', 'mi', 'da', 'de']",-2,"['ũ', 'ni', 'foɦ', 'mi', 'dˈa', 'dʒɪ']",-2
uniformização,nome feminino,"['u', 'ni', 'for', 'mi', 'za', 'ção']",-1,"['ũ', 'ni', 'foɦ', 'mi', 'za', 'sˈɐ̃w']",-1
uniformizado,adjetivo,"['u', 'ni', 'for', 'mi', 'za', 'do']",-2,"['ũ', 'ni', 'foɦ', 'mi', 'zˈa', 'dʊ']",-2
uniformizador,adjetivo,"['u', 'ni', 'for', 'mi', 'za', 'dor']",-1,"['ũ', 'ni', 'foɦ', 'mi', 'za', 'dˈo']",-1
uniformizador,nome masculino,"['u', 'ni', 'for', 'mi', 'za', 'dor']",-1,"['ũ', 'ni', 'foɦ', 'mi', 'za', 'dˈo']",-1
uniformizadora,nome feminino,"['u', 'ni', 'for', 'mi', 'za', 'do', 'ra']",-2,"['ũ', 'ni', 'foɦ', 'mi', 'za', 'dˈo', 'ɾɐ']",-2
uniformizar,verbo,"['u', 'ni', 'for', 'mi', 'zar']",-1,"['ũ', 'ni', 'foɦ', 'mi', 'zˈa']",-1
unigénito,nome masculino,"['u', 'ni', 'gé', 'ni', 'to']",-3,"['ũ', 'ni', 'ʒˈɛ̃', 'ni', 'tʊ']",-3
unigénito,adjetivo,"['u', 'ni', 'gé', 'ni', 'to']",-3,"['ũ', 'ni', 'ʒˈɛ̃', 'ni', 'tʊ']",-3
unilateral,adjetivo,"['u', 'ni', 'la', 'te', 'ral']",-1,"['ũ', 'ni', 'la', 'te', 'ɾˈaw']",-1
unilateralidade,nome feminino,"['u', 'ni', 'la', 'te', 'ra', 'li', 'da', 'de']",-2,"['ũ', 'ni', 'la', 'te', 'ɾa', 'li', 'dˈa', 'dʒɪ']",-2
unilateralismo,nome masculino,"['u', 'ni', 'la', 'te', 'ra', 'lis', 'mo']",-2,"['ũ', 'ni', 'la', 'te', 'ɾa', 'lˈiʒ', 'mʊ']",-2
unilateralmente,advérbio,"['u', 'ni', 'la', 'te', 'ral', 'men', 'te']",-2,"['ũ', 'ni', 'la', 'te', 'ɾaw', 'mˈẽ', 'tʃɪ']",-2
uninominal,adjetivo,"['u', 'ni', 'no', 'mi', 'nal']",-1,"['ũ', 'nĩ', 'nõ', 'mĩ', 'nˈaw']",-1
unionismo,nome masculino,"['u', 'ni', 'o', 'nis', 'mo']",-2,"['ũ', 'njõ', 'nˈiʒ', 'mʊ']",-2
unionista,nome masculino,"['u', 'ni', 'o', 'nis', 'ta']",-2,"['ũ', 'njõ', 'nˈiʃ', 'tɐ']",-2
unionista,adjetivo,"['u', 'ni', 'o', 'nis', 'ta']",-2,"['ũ', 'njõ', 'nˈiʃ', 'tɐ']",-2
unionista,nome feminino,"['u', 'ni', 'o', 'nis', 'ta']",-2,"['ũ', 'njõ', 'nˈiʃ', 'tɐ']",-2
unipessoal,adjetivo,"['u', 'ni', 'pes', 'so', 'al']",-1,"['ũ', 'ni', 'pe', 'so', 'ˈaw']",-1
unipessoalmente,advérbio,"['u', 'ni', 'pes', 'so', 'al', 'men', 'te']",-2,"['ũ', 'ni', 'pe', 'so', 'aw', 'mˈẽ', 'tʃɪ']",-2
unipolar,adjetivo,"['u', 'ni', 'po', 'lar']",-1,"['ũ', 'ni', 'po', 'lˈa']",-1
unipolaridade,nome feminino,"['u', 'ni', 'po', 'la', 'ri', 'da', 'de']",-2,"['ũ', 'ni', 'po', 'la', 'ɾi', 'dˈa', 'dʒɪ']",-2
unir,verbo,"['u', 'nir']",-1,"['ũ', 'nˈi']",-1
unissexo,adjetivo,"['u', 'nis', 'se', 'xo']",-2,"['ũ', 'ni', 'sˈɛk', 'sʊ']",-2
unissexual,adjetivo,"['u', 'nis', 'se', 'xu', 'al']",-1,"['ũ', 'ni', 'sek', 'su', 'ˈaw']",-1
unissonamente,advérbio,"['u', 'nis', 'so', 'na', 'men', 'te']",-2,"['ũ', 'ni', 'sõ', 'nã', 'mˈẽ', 'tʃɪ']",-2
uníssono,adjetivo,"['u', 'nís', 'so', 'no']",-3,"['ũ', 'nˈi', 'sõ', 'nʊ']",-3
uníssono,nome masculino,"['u', 'nís', 'so', 'no']",-3,"['ũ', 'nˈi', 'sõ', 'nʊ']",-3
unitária,nome feminino,"['u', 'ni', 'tá', 'ri', 'a']",-3,"['ũ', 'ni', 'tˈa', 'ɾjɐ']",-2
unitariamente,advérbio,"['u', 'ni', 'ta', 'ri', 'a', 'men', 'te']",-2,"['ũ', 'ni', 'ta', 'ɾi', 'ã', 'mˈẽ', 'tʃɪ']",-2
unitário,nome masculino,"['u', 'ni', 'tá', 'ri', 'o']",-3,"['ũ', 'ni', 'tˈa', 'ɾjʊ']",-2
unitário,adjetivo,"['u', 'ni', 'tá', 'ri', 'o']",-3,"['ũ', 'ni', 'tˈa', 'ɾjʊ']",-2
unitarismo,nome masculino,"['u', 'ni', 'ta', 'ris', 'mo']",-2,"['ũ', 'ni', 'ta', 'ɾˈiʒ', 'mʊ']",-2
unitarista,adjetivo,"['u', 'ni', 'ta', 'ris', 'ta']",-2,"['ũ', 'ni', 'ta', 'ɾˈiʃ', 'tɐ']",-2
