palavra,categoria,divisao_silabica,tonica_silabica_num,divisao_fonetica,tonica_fonetica_num
franco,nome masculino,"['fran', 'co']",-2,"['fɾˈɐ̃', 'kʊ']",-2
franco,adjetivo,"['fran', 'co']",-2,"['fɾˈɐ̃', 'kʊ']",-2
franco-alemã,nome feminino,"['fran', 'co', 'a', 'le', 'mã']",-1,"['fɾˌɐ̃', 'ko', 'a', 'lẽ', 'mˈɐ̃']",-1
franco-alemão,adjetivo,"['fran', 'co', 'a', 'le', 'mão']",-1,"['fɾˌɐ̃', 'ko', 'a', 'lẽ', 'mˈɐ̃w']",-1
franco-alemão,nome masculino,"['fran', 'co', 'a', 'le', 'mão']",-1,"['fɾˌɐ̃', 'ko', 'a', 'lẽ', 'mˈɐ̃w']",-1
franco-americano,adjetivo,"['fran', 'co', 'a', 'me', 'ri', 'ca', 'no']",-2,"['fɾˌɐ̃', 'ko', 'ã', 'me', 'ɾi', 'kˈɐ̃', 'nʊ']",-2
franco-belga,nome feminino,"['fran', 'co', 'bel', 'ga']",-2,"['fɾˌɐ̃', 'ko', 'bˈɛw', 'gɐ']",-2
franco-belga,nome masculino,"['fran', 'co', 'bel', 'ga']",-2,"['fɾˌɐ̃', 'ko', 'bˈɛw', 'gɐ']",-2
franco-belga,adjetivo,"['fran', 'co', 'bel', 'ga']",-2,"['fɾˌɐ̃', 'ko', 'bˈɛw', 'gɐ']",-2
franco-britânico,adjetivo,"['fran', 'co', 'bri', 'tâ', 'ni', 'co']",-3,"['fɾˌɐ̃', 'ko', 'bɾi', 'tˈɐ̃', 'ni', 'kʊ']",-3
franco-espanhol,adjetivo,"['fran', 'co', 'es', 'pa', 'nhol']",-1,"['fɾˌɐ̃', 'ko', 'iʃ', 'pã', 'ɲˈɔw']",-1
franco-mação,nome masculino,"['fran', 'co', 'ma', 'ção']",-1,"['fɾˌɐ̃', 'ko', 'ma', 'sˈɐ̃w']",-1
