palavra,categoria,divisao_silabica,tonica_silabica_num,divisao_fonetica,tonica_fonetica_num
icterícia,nome feminino,"['ic', 'te', 'rí', 'ci', 'a']",-3,"['i', 'ki', 'te', 'ɾˈi', 'sjɐ']",-2
ictiologia,nome feminino,"['ic', 'ti', 'o', 'lo', 'gi', 'a']",-2,"['i', 'ki', 'tʃjo', 'lo', 'ʒˈi', 'ɐ']",-2
ictiológico,adjetivo,"['ic', 'ti', 'o', 'ló', 'gi', 'co']",-3,"['i', 'ki', 'tʃjo', 'lˈɔ', 'ʒi', 'kʊ']",-3
ictus,nome masculino,"['ic', 'tus']",-1,"['ˈi', 'kə', 'tʊʃ']",-3
id,nome masculino,['id'],-1,['ˈid'],-1
ida,nome feminino,"['i', 'da']",-2,"['ˈi', 'dɐ']",-2
idade,nome feminino,"['i', 'da', 'de']",-2,"['i', 'dˈa', 'dʒɪ']",-2
idálio,adjetivo,"['i', 'dá', 'li', 'o']",-3,"['i', 'dˈa', 'ljʊ']",-2
idanhense,adjetivo,"['i', 'da', 'nhen', 'se']",-2,"['i', 'dã', 'ɲˈẽ', 'sɪ']",-2
idanhense,nome masculino,"['i', 'da', 'nhen', 'se']",-2,"['i', 'dã', 'ɲˈẽ', 'sɪ']",-2
ide,nome masculino,"['i', 'de']",-2,"['ˈi', 'dʒɪ']",-2
ideação,nome feminino,"['i', 'de', 'a', 'ção']",-1,"['i', 'de', 'a', 'sˈɐ̃w']",-1
ideal,adjetivo,"['i', 'de', 'al']",-1,"['i', 'dʒi', 'ˈaw']",-1
ideal,nome masculino,"['i', 'de', 'al']",-1,"['i', 'dʒi', 'ˈaw']",-1
idealidade,nome feminino,"['i', 'de', 'a', 'li', 'da', 'de']",-2,"['i', 'de', 'a', 'li', 'dˈa', 'dʒɪ']",-2
idealismo,nome masculino,"['i', 'de', 'a', 'lis', 'mo']",-2,"['i', 'de', 'a', 'lˈiʒ', 'mʊ']",-2
idealista,nome masculino,"['i', 'de', 'a', 'lis', 'ta']",-2,"['i', 'de', 'a', 'lˈiʃ', 'tɐ']",-2
idealista,adjetivo,"['i', 'de', 'a', 'lis', 'ta']",-2,"['i', 'de', 'a', 'lˈiʃ', 'tɐ']",-2
idealista,nome feminino,"['i', 'de', 'a', 'lis', 'ta']",-2,"['i', 'de', 'a', 'lˈiʃ', 'tɐ']",-2
idealização,nome feminino,"['i', 'de', 'a', 'li', 'za', 'ção']",-1,"['i', 'de', 'a', 'li', 'za', 'sˈɐ̃w']",-1
idealizador,adjetivo,"['i', 'de', 'a', 'li', 'za', 'dor']",-1,"['i', 'de', 'a', 'li', 'za', 'dˈo']",-1
idealizador,nome masculino,"['i', 'de', 'a', 'li', 'za', 'dor']",-1,"['i', 'de', 'a', 'li', 'za', 'dˈo']",-1
idealizar,verbo,"['i', 'de', 'a', 'li', 'zar']",-1,"['i', 'de', 'a', 'li', 'zˈa']",-1
