palavra,categoria,divisao_silabica,tonica_silabica_num,divisao_fonetica,tonica_fonetica_num
zíngaro,nome masculino,"['zín', 'ga', 'ro']",-3,"['zˈĩ', 'ga', 'ɾʊ']",-3
zinho,nome masculino,"['zi', 'nho']",-2,"['zˈĩ', 'ɲʊ']",-2
zinir,verbo,"['zi', 'nir']",-1,"['zĩ', 'nˈi']",-1
zip,nome masculino,['zip'],-1,[''],0
zircónio,nome masculino,"['zir', 'có', 'ni', 'o']",-3,"['zih', 'kˈɔ̃', 'njʊ']",-2
zito,nome masculino,"['zi', 'to']",-2,"['zˈi', 'tʊ']",-2
zloty,nome masculino,"['zlo', 'ty']",-2,[''],0
zoada,nome feminino,"['zo', 'a', 'da']",-2,"['zo', 'ˈa', 'dɐ']",-2
zoar,verbo,"['zo', 'ar']",-1,"['zo', 'ˈa']",-1
zodiacal,adjetivo,"['zo', 'di', 'a', 'cal']",-1,"['zo', 'dʒi', 'a', 'kˈaw']",-1
zoilo,nome masculino,"['zoi', 'lo']",-2,"['zˈoj', 'lʊ']",-2
zola,nome feminino,"['zo', 'la']",-2,"['zˈɔ', 'lɐ']",-2
zomba,nome feminino,"['zom', 'ba']",-2,"['zˈõ', 'bɐ']",-2
zombar,verbo,"['zom', 'bar']",-1,"['zõ', 'bˈa']",-1
zombaria,nome feminino,"['zom', 'ba', 'ri', 'a']",-2,"['zõ', 'ba', 'ɾˈi', 'ɐ']",-2
zombeteira,nome feminino,"['zom', 'be', 'tei', 'ra']",-2,"['zõ', 'be', 'tˈej', 'ɾɐ']",-2
zombeteiramente,advérbio,"['zom', 'be', 'tei', 'ra', 'men', 'te']",-2,"['zõ', 'be', 'tej', 'ɾã', 'mˈẽ', 'tʃɪ']",-2
zombeteiro,adjetivo,"['zom', 'be', 'tei', 'ro']",-2,"['zõ', 'be', 'tˈej', 'ɾʊ']",-2
zombeteiro,nome masculino,"['zom', 'be', 'tei', 'ro']",-2,"['zõ', 'be', 'tˈej', 'ɾʊ']",-2
zombie,nome masculino,"['zom', 'bie']",-1,[''],0
zona,nome feminino,"['zo', 'na']",-2,"['zˈõ', 'nɐ']",-2
zonal,adjetivo,"['zo', 'nal']",-1,"['zõ', 'nˈaw']",-1
zonamento,nome masculino,"['zo', 'na', 'men', 'to']",-2,"['zõ', 'nã', 'mˈẽ', 'tʊ']",-2
zonar,verbo,"['zo', 'nar']",-1,"['zõ', 'nˈa']",-1
zoneamento,nome masculino,"['zo', 'ne', 'a', 'men', 'to']",-2,"['zõ', 'ne', 'ã', 'mˈẽ', 'tʊ']",-2
zongola,nome masculino,"['zon', 'go', 'la']",-2,"['zõ', 'gˈo', 'lɐ']",-2
zongolar,verbo,"['zon', 'go', 'lar']",-1,"['zõ', 'go', 'lˈa']",-1
zonzo,adjetivo,"['zon', 'zo']",-2,"['zˈõ', 'zʊ']",-2
zonzom,nome masculino,"['zon', 'zom']",-2,"['zõ', 'zˈõ']",-1
zoo,nome masculino,"['zo', 'o']",-2,"['zˈo', 'ʊ']",-2
zoófila,nome feminino,"['zo', 'ó', 'fi', 'la']",-3,"['zo', 'ˈɔ', 'fi', 'lɐ']",-3
zoófilo,adjetivo,"['zo', 'ó', 'fi', 'lo']",-3,"['zo', 'ˈɔ', 'fi', 'lʊ']",-3
zoófilo,nome masculino,"['zo', 'ó', 'fi', 'lo']",-3,"['zo', 'ˈɔ', 'fi', 'lʊ']",-3
zoologia,nome feminino,"['zo', 'o', 'lo', 'gi', 'a']",-2,"['zo', 'lo', 'ʒˈi', 'ɐ']",-2
zoologicamente,advérbio,"['zo', 'o', 'lo', 'gi', 'ca', 'men', 'te']",-2,"['zo', 'lɔ', 'ʒi', 'kã', 'mˈẽ', 'tʃɪ']",-2
