palavra,divisao,categoria,fonetica,tonic
dançarino,"['dan', 'ça', 'ri', 'no']",nome masculino,"['dɐ̃', 'sa', 'ɾˈĩ', 'nʊ']",2
dançarino,"['dan', 'ça', 'ri', 'no']",adjetivo,"['dɐ̃', 'sa', 'ɾˈĩ', 'nʊ']",2
danceteria,"['dan', 'ce', 'te', 'ri', 'a']",nome feminino,"['dɐ̃', 'se', 'te', 'ɾˈi', 'ɐ']",2
dancing,"['dan', 'cing']",nome masculino,[''],2
dândi,"['dân', 'di']",nome masculino,"['dˈɐ̃', 'dʒɪ']",2
dandismo,"['dan', 'dis', 'mo']",nome masculino,"['dɐ̃', 'dʒˈiʒ', 'mʊ']",2
dandy,"['dan', 'dy']",nome masculino,[''],2
danificação,"['da', 'ni', 'fi', 'ca', 'ção']",nome feminino,"['dã', 'ni', 'fi', 'ka', 'sˈɐ̃w']",1
danificado,"['da', 'ni', 'fi', 'ca', 'do']",adjetivo,"['dã', 'ni', 'fi', 'kˈa', 'dʊ']",2
danificar,"['da', 'ni', 'fi', 'car']",verbo,"['dã', 'ni', 'fi', 'kˈa']",1
daninhar,"['da', 'ni', 'nhar']",verbo,"['dã', 'nĩ', 'ɲˈa']",1
daninho,"['da', 'ni', 'nho']",adjetivo,"['dã', 'nˈĩ', 'ɲʊ']",2
daninho,"['da', 'ni', 'nho']",nome masculino,"['dã', 'nˈĩ', 'ɲʊ']",2
dano,"['da', 'no']",adjetivo,"['dˈɐ̃', 'nʊ']",2
dano,"['da', 'no']",nome masculino,"['dˈɐ̃', 'nʊ']",2
danosamente,"['da', 'no', 'sa', 'men', 'te']",advérbio,"['dã', 'nɔ', 'zã', 'mˈẽ', 'tʃɪ']",2
danoso,"['da', 'no', 'so']",adjetivo,"['dã', 'nˈo', 'zʊ']",2
dantes,"['dan', 'tes']",advérbio,"['dˈɐ̃', 'tʃɪʃ']",2
dantesco,"['dan', 'tes', 'co']",adjetivo,"['dɐ̃', 'tˈeʃ', 'kʊ']",2
danubiana,"['da', 'nu', 'bi', 'a', 'na']",nome feminino,"['dã', 'nu', 'bi', 'ˈɐ̃', 'nɐ']",2
danubiano,"['da', 'nu', 'bi', 'a', 'no']",adjetivo,"['dã', 'nu', 'bi', 'ˈɐ̃', 'nʊ']",2
danubiano,"['da', 'nu', 'bi', 'a', 'no']",nome masculino,"['dã', 'nu', 'bi', 'ˈɐ̃', 'nʊ']",2
danzón,"['dan', 'zón']",nome masculino,[''],1
daquele,"['da', 'que', 'le']",,"['da', 'kˈe', 'lɪ']",2
daqui,"['da', 'qui']",,"['da', 'kˈi']",1
daquilo,"['da', 'qui', 'lo']",,"['da', 'kˈi', 'lʊ']",2
dar,['dar'],verbo,['dˈa'],1
dardar,"['dar', 'dar']",verbo,"['daɦ', 'dˈa']",1
dardo,"['dar', 'do']",nome masculino,"['dˈaɦ', 'dʊ']",2
dares,"['da', 'res']",nome masculino,"['dˈa', 'ɾɪʃ']",2
darwiniano,"['dar', 'wi', 'ni', 'a', 'no']",adjetivo,"['daɾ', 'ũj', 'ni', 'ˈɐ̃', 'nʊ']",2
darwinismo,"['dar', 'wi', 'nis', 'mo']",nome masculino,"['daɾ', 'wi', 'nˈiʒ', 'mʊ']",2
darwinista,"['dar', 'wi', 'nis', 'ta']",nome masculino,"['daɾ', 'wi', 'nˈiʃ', 'tɐ ou daɾ', 'wi', 'nˈiʃ', 'tɐ']",2
darwinista,"['dar', 'wi', 'nis', 'ta']",adjetivo,"['daɾ', 'wi', 'nˈiʃ', 'tɐ']",2
data,"['da', 'ta']",nome feminino,"['dˈa', 'tɐ']",2
data-chave,"['da', 'ta', 'cha', 've']",nome feminino,"['dˌa', 'tɐ', 'ʃˈa', 'vɪ']",2
data-limite,"['da', 'ta', 'li', 'mi', 'te']",nome feminino,"['dˌa', 'tɐ', 'lĩ', 'mˈi', 'tʃɪ']",2
data-valor,"['da', 'ta', 'va', 'lor']",nome feminino,"['dˈa', 'tɐ', 'va', 'lˈo']",1
datação,"['da', 'ta', 'ção']",nome feminino,"['da', 'ta', 'sˈɐ̃w']",1
datado,"['da', 'ta', 'do']",adjetivo,"['da', 'tˈa', 'dʊ']",2
datar,"['da', 'tar']",verbo,"['da', 'tˈa']",1
datável,"['da', 'tá', 'vel']",adjetivo,"['da', 'tˈa', 'vew']",2
datcha,"['dat', 'cha']",nome feminino,"['dˈat', 'ʃɐ']",2
datilografia,"['da', 'ti', 'lo', 'gra', 'fi', 'a']",nome feminino,"['da', 'tʃi', 'lo', 'gɾa', 'fˈi', 'ɐ']",2
datura,"['da', 'tu', 'ra']",nome feminino,"['da', 'tˈu', 'ɾɐ']",2
davídico,"['da', 'ví', 'di', 'co']",adjetivo,"['da', 'vˈi', 'dʒi', 'kʊ']",3
dê,['dê'],nome masculino,['dˈe'],1
de,['de'],preposição,['dʒɪ'],1
deadline,"['dea', 'dli', 'ne']",nome masculino,[''],2
dealbar,"['de', 'al', 'bar']",verbo,"['de', 'aw', 'bˈa']",1
dealbar,"['de', 'al', 'bar']",nome masculino,"['de', 'aw', 'bˈa']",1
dealer,"['dea', 'ler']",nome masculino,[''],2
deambulação,"['de', 'am', 'bu', 'la', 'ção']",nome feminino,"['de', 'ɐ̃', 'bu', 'la', 'sˈɐ̃w']",1
deambulante,"['de', 'am', 'bu', 'lan', 'te']",adjetivo,"['de', 'ɐ̃', 'bu', 'lˈɐ̃', 'tʃɪ']",2
deambular,"['de', 'am', 'bu', 'lar']",verbo,"['de', 'ɐ̃', 'bu', 'lˈa']",1
deambulatório,"['de', 'am', 'bu', 'la', 'tó', 'ri', 'o']",adjetivo,"['de', 'ɐ̃', 'bu', 'la', 'tˈɔ', 'ɾjʊ']",3
deambulatório,"['de', 'am', 'bu', 'la', 'tó', 'ri', 'o']",nome masculino,"['de', 'ɐ̃', 'bu', 'la', 'tˈɔ', 'ɾjʊ']",3
deão,"['de', 'ão']",nome masculino,"['de', 'ˈɐ̃w']",1
debaixo,"['de', 'bai', 'xo']",advérbio,"['de', 'bˈaj', 'ʃʊ']",2
