palavra,divisao,categoria,fonetica,tonic
cabeçudo,"['ca', 'be', 'çu', 'do']",adjetivo,"['ka', 'be', 'sˈu', 'dʊ']",2
cabeçudo,"['ca', 'be', 'çu', 'do']",nome masculino,"['ka', 'be', 'sˈu', 'dʊ']",2
cabedal,"['ca', 'be', 'dal']",nome masculino,"['ka', 'be', 'dˈaw']",1
cabedelo,"['ca', 'be', 'de', 'lo']",nome masculino,"['ka', 'be', 'dˈe', 'lʊ']",2
cabeleira,"['ca', 'be', 'lei', 'ra']",nome feminino,"['ka', 'be', 'lˈej', 'ɾɐ']",2
cabeleira,"['ca', 'be', 'lei', 'ra']",nome masculino,"['ka', 'be', 'lˈej', 'ɾɐ']",2
cabeleireiro,"['ca', 'be', 'lei', 'rei', 'ro']",nome masculino,"['ka', 'be', 'lej', 'ɾˈej', 'ɾʊ']",2
cabeleiro,"['ca', 'be', 'lei', 'ro']",nome masculino,"['ka', 'be', 'lˈej', 'ɾʊ']",2
cabelinho,"['ca', 'be', 'li', 'nho']",nome masculino,"['ka', 'be', 'lˈĩ', 'ɲʊ']",2
cabelo,"['ca', 'be', 'lo']",nome masculino,"['ka', 'bˈe', 'lʊ']",2
cabeluda,"['ca', 'be', 'lu', 'da']",nome feminino,"['ka', 'be', 'lˈu', 'dɐ']",2
cabeludo,"['ca', 'be', 'lu', 'do']",adjetivo,"['ka', 'be', 'lˈu', 'dʊ']",2
cabeludo,"['ca', 'be', 'lu', 'do']",nome masculino,"['ka', 'be', 'lˈu', 'dʊ']",2
caber,"['ca', 'ber']",verbo,"['ka', 'bˈe']",1
cabetula,"['ca', 'be', 'tu', 'la']",nome feminino,"['ka', 'be', 'tˈu', 'lɐ']",2
cabide,"['ca', 'bi', 'de']",nome masculino,"['ka', 'bˈi', 'dʒɪ']",2
cabidela,"['ca', 'bi', 'de', 'la']",nome feminino,"['ka', 'bi', 'dˈɛ', 'lɐ']",2
cabido,"['ca', 'bi', 'do']",nome masculino,"['ka', 'bˈi', 'dʊ']",2
cabido,"['ca', 'bi', 'do']",adjetivo,"['ka', 'bˈi', 'dʊ']",2
cabila,"['ca', 'bi', 'la']",nome feminino,"['ka', 'bˈi', 'lɐ']",2
cabimento,"['ca', 'bi', 'men', 'to']",nome masculino,"['ka', 'bĩ', 'mˈẽ', 'tʊ']",2
cabina,"['ca', 'bi', 'na']",nome feminino,"['ka', 'bˈĩ', 'nɐ']",2
cabinda,"['ca', 'bin', 'da']",nome masculino,"['ka', 'bˈĩ', 'dɐ']",2
cabinda,"['ca', 'bin', 'da']",adjetivo,"['ka', 'bˈĩ', 'dɐ']",2
cabinda,"['ca', 'bin', 'da']",nome feminino,"['ka', 'bˈĩ', 'dɐ']",2
cabine,"['ca', 'bi', 'ne']",nome feminino,"['ka', 'bˈĩ', 'nɪ']",2
cabisbaixo,"['ca', 'bis', 'bai', 'xo']",adjetivo,"['ka', 'biʒ', 'bˈaj', 'ʃʊ']",2
cablagem,"['ca', 'bla', 'gem']",nome feminino,"['ka', 'blˈa', 'ʒẽj']",2
cabo,"['ca', 'bo']",nome masculino,"['kˈa', 'bʊ']",2
