palavra,divisao,categoria,fonetica,tonic
lacrau,"['la', 'crau']",nome masculino,"['la', 'kɾˈaw']",1
lacre,"['la', 'cre']",nome masculino,"['lˈa', 'kɾɪ']",2
lacrimal,"['la', 'cri', 'mal']",adjetivo,"['la', 'kɾĩ', 'mˈaw']",1
lacrimal,"['la', 'cri', 'mal']",nome masculino,"['la', 'kɾĩ', 'mˈaw']",1
lacrimar,"['la', 'cri', 'mar']",verbo,"['la', 'kɾĩ', 'mˈa']",1
lacrimejante,"['la', 'cri', 'me', 'jan', 'te']",adjetivo,"['la', 'kɾĩ', 'me', 'ʒˈɐ̃', 'tʃɪ']",2
lacrimejar,"['la', 'cri', 'me', 'jar']",verbo,"['la', 'kɾĩ', 'me', 'ʒˈa']",1
lacrimogéneo,"['la', 'cri', 'mo', 'gé', 'ne', 'o']",adjetivo,"['la', 'kɾĩ', 'mo', 'ʒˈɛ̃', 'njʊ']",3
lacrimoso,"['la', 'cri', 'mo', 'so']",adjetivo,"['la', 'kɾĩ', 'mˈo', 'zʊ']",2
lactação,"['lac', 'ta', 'ção']",nome feminino,"['la', 'kə', 'ta', 'sˈɐ̃w']",1
lactante,"['lac', 'tan', 'te']",nome feminino,"['la', 'kə', 'tˈɐ̃', 'tʃɪ ou la', 'kə', 'tˈɐ̃', 'tʃɪ']",2
lactante,"['lac', 'tan', 'te']",adjetivo,"['la', 'kə', 'tˈɐ̃', 'tʃɪ']",2
lactar,"['lac', 'tar']",verbo,"['la', 'kə', 'tˈa']",1
láctea,"['lác', 'te', 'a']",nome feminino,"['lˈa', 'ki', 'tʃjɐ']",3
lactente,"['lac', 'ten', 'te']",adjetivo,"['la', 'ki', 'tˈẽ', 'tʃɪ']",2
lactente,"['lac', 'ten', 'te']",nome masculino,"['la', 'ki', 'tˈẽ', 'tʃɪ']",2
lactente,"['lac', 'ten', 'te']",nome feminino,"['la', 'ki', 'tˈẽ', 'tʃɪ']",2
lácteo,"['lác', 'te', 'o']",adjetivo,"['lˈa', 'ki', 'tʃjʊ']",3
lacticínio,"['lac', 'ti', 'cí', 'ni', 'o']",nome masculino,"['la', 'ki', 'tʃi', 'sˈĩ', 'njʊ']",3
láctico,"['lác', 'ti', 'co']",adjetivo,"['lˈa', 'ki', 'tʃi', 'kʊ']",3
lactoalbumina,"['lac', 'to', 'al', 'bu', 'mi', 'na']",nome feminino,"['la', 'kə', 'to', 'aw', 'bũ', 'mˈĩ', 'nɐ']",2
lactose,"['lac', 'to', 'se']",nome feminino,"['la', 'kə', 'tˈɔ', 'zɪ']",2
lacuna,"['la', 'cu', 'na']",nome feminino,"['la', 'kˈũ', 'nɐ']",2
lacunar,"['la', 'cu', 'nar']",adjetivo,"['la', 'kũ', 'nˈa']",1
lacunar,"['la', 'cu', 'nar']",nome masculino,"['la', 'kũ', 'nˈa']",1
lacunar,"['la', 'cu', 'nar']",nome feminino,"['la', 'kũ', 'nˈa']",1
lacustre,"['la', 'cus', 'tre']",adjetivo,"['la', 'kˈuʃ', 'tɾɪ']",2
lada,"['la', 'da']",nome feminino,"['lˈa', 'dɐ']",2
ladainha,"['la', 'da', 'i', 'nha']",nome feminino,"['la', 'da', 'ˈĩ', 'ɲɐ']",2
ladear,"['la', 'de', 'ar']",verbo,"['la', 'dʒi', 'ˈa']",1
ladeira,"['la', 'dei', 'ra']",nome feminino,"['la', 'dˈej', 'ɾɐ']",2
ladeirar,"['la', 'dei', 'rar']",verbo,"['la', 'dej', 'ɾˈa']",1
ladeiro,"['la', 'dei', 'ro']",nome masculino,"['la', 'dˈej', 'ɾʊ']",2
ladeiro,"['la', 'dei', 'ro']",adjetivo,"['la', 'dˈej', 'ɾʊ']",2
ladinice,"['la', 'di', 'ni', 'ce']",nome feminino,"['la', 'dʒĩ', 'nˈi', 'sɪ']",2
ladino,"['la', 'di', 'no']",adjetivo,"['la', 'dʒˈĩ', 'nʊ']",2
ladino,"['la', 'di', 'no']",nome masculino,"['la', 'dʒˈĩ', 'nʊ']",2
lado,"['la', 'do']",nome masculino,"['lˈa', 'dʊ']",2
ladra,"['la', 'dra']",nome feminino,"['lˈa', 'dɾɐ']",2
ladrão,"['la', 'drão']",adjetivo,"['la', 'dɾˈɐ̃w']",1
ladrão,"['la', 'drão']",nome masculino,"['la', 'dɾˈɐ̃w']",1
ladrar,"['la', 'drar']",verbo,"['la', 'dɾˈa']",1
ladrilhado,"['la', 'dri', 'lha', 'do']",adjetivo,"['la', 'dɾi', 'ʎˈa', 'dʊ']",2
ladrilhador,"['la', 'dri', 'lha', 'dor']",adjetivo,"['la', 'dɾi', 'ʎa', 'dˈo']",1
ladrilhador,"['la', 'dri', 'lha', 'dor']",nome masculino,"['la', 'dɾi', 'ʎa', 'dˈo']",1
ladrilhar,"['la', 'dri', 'lhar']",verbo,"['la', 'dɾi', 'ʎˈa']",1
ladrilho,"['la', 'dri', 'lho']",nome masculino,"['la', 'dɾˈi', 'ʎʊ']",2
ladro,"['la', 'dro']",adjetivo,"['lˈa', 'dɾʊ']",2
ladro,"['la', 'dro']",nome masculino,"['lˈa', 'dɾʊ']",2
