palavra,divisao,categoria,fonetica,tonic
xilogravura,"['xi', 'lo', 'gra', 'vu', 'ra']",nome feminino,"['ʃi', 'lo', 'gɾa', 'vˈu', 'ɾɐ']",2
xiluva,"['xi', 'lu', 'va']",nome feminino,"['ʃi', 'lˈu', 'vɐ']",2
xinga,"['xin', 'ga']",nome feminino,"['ʃˈĩ', 'gɐ']",2
xingar,"['xin', 'gar']",verbo,"['ʃĩ', 'gˈa']",1
xintoísmo,"['xin', 'to', 'ís', 'mo']",nome masculino,"['ʃĩ', 'to', 'ˈiʒ', 'mʊ']",2
xintoísta,"['xin', 'to', 'ís', 'ta']",nome masculino,"['ʃĩ', 'to', 'ˈiʃ', 'tɐ']",2
xintoísta,"['xin', 'to', 'ís', 'ta']",adjetivo,"['ʃĩ', 'to', 'ˈiʃ', 'tɐ']",2
xintoísta,"['xin', 'to', 'ís', 'ta']",nome feminino,"['ʃĩ', 'to', 'ˈiʃ', 'tɐ']",2
xipalapala,"['xi', 'pa', 'la', 'pa', 'la']",nome feminino,"['ʃi', 'pa', 'la', 'pˈa', 'lɐ']",2
xis,['xis'],nome masculino,['ʃˈiʃ'],1
xistarca,"['xis', 'tar', 'ca']",nome masculino,"['ʃiʃ', 'tˈah', 'kɐ']",2
xisto,"['xis', 'to']",nome masculino,"['ʃˈiʃ', 'tʊ']",2
xistoso,"['xis', 'to', 'so']",adjetivo,"['ʃiʃ', 'tˈo', 'zʊ']",2
xiu,['xiu'],interjeição,"['ʃˈi', 'ʊ']",1
xixi,"['xi', 'xi']",nome masculino,"['ʃi', 'ʃˈi']",1
xô,['xô'],interjeição,['ʃˈo'],1
xogum,"['xo', 'gum']",nome masculino,"['ʃɔ', 'gˈũ']",1
xonar,"['xo', 'nar']",verbo,"['ʃɔ̃', 'nˈa']",1
xotar,"['xo', 'tar']",verbo,"['ʃo', 'tˈa']",1
xote,"['xo', 'te']",nome masculino,"['ʃˈɔ', 'tʃɪ']",2
xote,"['xo', 'te']",interjeição,"['ʃˈɔ', 'tʃɪ']",2
